"EC_number","LigandID","Commentary"
"3.1.4.14",63,"required"
"3.1.4.14",1137,""
"3.1.4.14",45,"required"
"3.1.4.14",61,"biphasic, optimal stimulation at 1 mM"
"3.1.4.17",45,"or other reductant, required"
"3.1.5.1",30403,""
"3.1.7.2",2,"activation by a low moelcular weight activation factor and ATP, inhibited by levallorphan"
"3.1.11.1",102749,"four molecules bind to exonuclease, carboxy terminus is the recognition site for the exonuclease, binds ssDNA to establish a conformation suitable for replication, recombination and repair"
"3.1.11.1",2,"ssDNA-binding protein stimulates ExoI by recruiting the enzyme. ExoI/ssDNA-binding protein complex formation is necessary, but not sufficient for ssDNA-binding protein stimulation of ExoI activity"
"3.1.11.1",2,"ExoI enzymatic activity is stimulated by single-stranded DNA-binding protein, whereby the hydrophobic C-terminal residues play critical roles in ExoI binding"
"3.1.11.2",63,"required"
"3.1.11.3",45,"required"
"3.1.11.3",79,"stimulates at 20 mM"
"3.1.11.5",7108,"less effective than ATP"
"3.1.11.5",236,"less effective than ATP"
"3.1.11.5",144,"less effective than ATP"
"3.1.11.5",122,"less effective than ATP"
"3.1.11.5",13,"less effective than ATP"
"3.1.11.5",274,"2-3fold stimulation; required for endonuclaes activity"
"3.1.11.5",274,"2-3fold stimulation"
"3.1.11.5",60,"less effective than ATP"
"3.1.11.5",140,"nearly as effective as ATP"
"3.1.11.5",179,"less effective than ATP"
"3.1.11.5",37,"less effective than ATP"
"3.1.11.5",42,"ATP molecules hydrolyzed per base pair unwound slightly increased"
"3.1.11.5",31128,"activates ATPase only"
"3.1.11.5",404,"less effective than ATP"
"3.1.11.5",523,"less effective than ATP"
"3.1.11.5",65,"less effective than ATP"
"3.1.11.6",63,"required for 100% activity"
"3.1.11.6",2,"becomes activated upon DNA damage by single-stranded DNA regions, in order to confer better opportunities for cell survival"
"3.1.11.6",2,"acetate has no effect"
"3.1.11.6",16,"5-10fold higher activity compared to Tris-HCL buffer"
"3.1.11.6",16,"stimulates"
"3.1.11.6",160,"stimulates"
"3.1.13.1",533,"can replace missing Mg2+ to a small extent"
"3.1.13.1",9544,"1 mM, after 2 h RNase major protein in cell extracts of E.coli strain BL21(DE3)"
"3.1.13.1",155,"can replace missing Mg2+ to a small extent"
"3.1.13.1",148,"can replace missing Mg2+ to a small extent"
"3.1.13.1",197,"can replace missing Mg2+ to a small extent"
"3.1.13.5",54,"stimulates"
"3.1.21.2",63,"slight activation"
"3.1.21.2",274,"130% activity at 1% at pH 8.0 and 37°C"
"3.1.21.2",2,"the enzyme is induced by phage T4, no activation by S-adenosyl-L-methionine, ATP, or both"
"3.1.21.3",2,"REcBCD displaces EcoR124I from the cleaved DNA, allowing it to regain catalytic function and cleave the second aliquot of DNA. RecBCD is able to reactivate cleavage-inactivated EcoR124I holoenzyme"
"3.1.21.3",75858,"stimulates DNA cleavage activity"
"3.1.21.3",24,"stimulates, not required"
"3.1.21.3",24,"required"
"3.1.21.3",24,""
"3.1.21.4",102730,"containing the specific recognition site activate"
"3.1.21.5",4,"ATP hydrolysis activated by recognition site binding leads to release of the enzyme from the site, dissociation from the substrate via a free DNA end and cleavage of the DNA"
"3.1.21.5",2,"type III restriction is enhanced by bacterial (RecBCD) function"
"3.1.21.5",117274,"may substitute for S-adenosyl-L-methionine"
"3.1.21.5",118881,"may substitute for S-adenosyl-L-methionine"
"3.1.21.5",659,"may substitute for S-adenosyl-L-methionine"
"3.1.21.7",4,"required"
"3.1.26.3",21,"less than 1 mM"
"3.1.26.3",297,"extends salt concentration range"
"3.1.26.3",2,"enzyme activity is increased at low osmolarity"
"3.1.26.3",2,"T7-induced catalytic enhancement of the enzyme"
"3.1.26.3",54,"maximum activity at 0.15-0.3 M"
"3.1.26.3",54,"cleavage pattern depends on concentration"
"3.1.26.3",54,"required"
"3.1.26.3",54,"stimualtion at 20 mM"
"3.1.26.3",54,""
"3.1.26.4",10929,"is required"
"3.1.26.5",31739,"enhances cleavage reaction of the M1 RNA subunit alone"
"3.1.26.5",5148,""
"3.1.26.5",2868,"enhances cleavage reaction of the M1 RNA subunit alone"
"3.1.26.5",33237,""
"3.1.26.5",148,"M1 RNA subunit can catalyze the cleavage of tRNA precursor molecules in the presence of 5 mM spermine or spermidine"
"3.1.26.5",197,"M1 RNA subunit can catalyze the cleavage of tRNA precursor molecules in the presence of 5 mM spermine or spermidine"
"3.1.26.5",44829,"most potent activator"
"3.1.26.5",6647,""
"3.1.26.7",54,"stimulates in presence of Mg2+"
"3.1.26.11",21,"with 0.2 mM, at 37°C, pH 7.4, 11% relative activity when compared to Co2+"
"3.1.26.12",144171,"plays an important role in facilitating the interaction ofRyhB with sodB mRNA, Hfq is not tightly retained by the RyhB-sodB mRNA complex and can be released from it through interaction with other RNAs added in trans"
"3.1.26.12",132722,"a factor binding to the sodB RNA and facilitating cleavage due to induced conformational changes within the 5'-UTR, overview"
"3.1.26.12",2,"5' monphosphorylation of RNA substrates increases the enzyme activity"
"3.1.26.12",2,"5' monophosphorylation increases the enzyme activity via altered binding of the catalytic domain N-Rne"
"3.1.27.1",2,"polyamines stimulate"
"3.1.27.3",10874,""
"3.1.27.10",6,"strong decrease of efficiency of oligonucleotide hybridization"
"3.2.1.31",166118,"adsorption of beta-glucuronidase on biopolymers is studied by the retention of the enzyme on the membrane of a concentrator with a pore diameter of 300 kDa and by native PAGE. Pectin-protein complexes (fractions PPC/CP and PPC/C) are established to increase the activity of beta-glucuronidase by 50 and 100%, respectively. There is a positive correlation between the increase of beta-glucuronidase activity in the presence of carbohydrates and enzyme adsorption on the polymers. The activity of the enzyme in the gel after electrophoresis of the PPC/+ beta-glucuronidase mixture is inversely proportional to the concentration of PPC/C in the mixture"
"3.2.1.52",10662,"dimeric"
"3.2.2.4",4,""
"3.2.2.4",108,""
"3.2.2.20",10509,""
"3.2.2.20",144,""
"3.2.2.20",882,""
"3.2.2.21",13462,""
"3.2.2.21",13462,"MNNG, good inducer of the enzyme, methylmethanesulfonate is less effective and 4-nitroquinoline-1-oxide has no effect"
"3.2.2.21",148,"stimulates activity"
"3.2.2.21",197,"stimulates activity"
"3.2.2.22",2,"inflammatory mediators such as bacterial lipopolysaccharide and polymorphonuclear neutrophils contribute to hemolytic-uremic syndrome pathophysiology by potentiating Stx effects in human astrocytes. Inhibition of NF-kappaB or blockade of TNF-alpha activity abrogates effects mediated by Stx1 in lipopolysaccharide-sensitized astrocytes"
"3.2.2.27",2,"uracil DNA glycosylase activity on nucleosomal DNA depends on rotational orientation of targets"
"3.2.2.28",147727,"endonuclease IV stimulates Dug activity by enhancing the rate and extent of uracil excision by promoting dissociation of Dug from the apyrimidinic-site/G-containing 34-mer. Catalytically active endonuclease IV is required to mediate Dug turnover"
"3.4.11.2",2,"4fold up-regulation in case of oxygen or phosphorus deficit, but not in case of nitrogen or carbon deficit"
"3.4.11.10",63,"activates, 30% activation at 17 mM"
"3.4.11.10",1136,"activates"
"3.4.11.10",45,"activates, 23% activation at 0.021 mM, inhibition above"
"3.4.21.B30",132739,"UmuD interacts with the beta subunit of DNA polymerase III"
"3.4.21.B30",9648,"UmuD is cleaved by RecA"
"3.4.21.B30",9648,"MucA undergoes RecA-mediated cleavage and autocatalysis at alkaline pH"
"3.4.21.B30",9648,"UmuD undergoes RecA-mediated cleavage and autocatalysis at alkaline pH, the larger product UmuD' is active and required for damge-induced mutagenesis"
"3.4.21.B30",9648,"required for activity, RecA facilitates the intermolecular selfcleavage of UmuD2 homodimer"
"3.4.21.53",92280,"activation, hydrolysis at 23% the rate of ATP, supports proteolysis with 30% the efficiency of ATP"
"3.4.21.53",7139,"hydrolysis, peptide not protein hydrolysis; i.e. adenosine 5'-O-(thiotriphosphate) or ATP-gamma-S, activation"
"3.4.21.53",7139,"i.e. adenosine 5'-O-(thiotriphosphate) or ATP-gamma-S, activation; slight"
"3.4.21.53",7139,"equally effective as ATP with casein as substrate; i.e. adenosine 5'-O-(thiotriphosphate) or ATP-gamma-S, activation"
"3.4.21.53",7139,"activates, hydrolysis of casein or glutaryl-Ala-Ala-Phe-methoxynaphthylamide; i.e. adenosine 5'-O-(thiotriphosphate) or ATP-gamma-S, activation; not bovine serum albumin hydrolysis"
"3.4.21.53",92283,"activation, Rp-diastereoisomer stimulates peptide hydrolysis much more effectively than Sp-diastereoisomer"
"3.4.21.53",202507,"slight activation"
"3.4.21.53",4220,"casein or glutaryl-Ala-Ala-Phe-methoxynaphthylamide hydrolysis; no activation of bovine serum albumin hydrolysis"
"3.4.21.53",4220,"can replace ATP; .e. AMP-PNP, activation"
"3.4.21.53",4220,"competes for one of the ATP-high-affinity binding-sites; .e. AMP-PNP, activation; peptide hydrolysis"
"3.4.21.53",4220,"binding is stimulated by protein substrates; .e. AMP-PNP, activation"
"3.4.21.53",4220,"can replace ATP; .e. AMP-PNP, activation; peptide hydrolysis"
"3.4.21.53",4220,".e. AMP-PNP, activation"
"3.4.21.53",12417,"casein or glutaryl-Ala-Ala-Phe-methoxynaphthylamide hydrolysis; i.e. AMP-PCP, activation"
"3.4.21.53",12417,"can replace ATP; i.e. AMP-PCP, activation"
"3.4.21.53",12417,"i.e. AMP-PCP, activation"
"3.4.21.53",96084,"i.e. AMP-CPP, activation, competes for the two ATP-high affinity sites"
"3.4.21.53",139445,"supports peptide hydrolysis by lon"
"3.4.21.53",96251,"activation, glutaryl-Ala-Ala-Phe methoxynaphthylamide hydrolysis, with or without ATP, not casein hydrolysis"
"3.4.21.53",738,"activation, glutaryl-Ala-Ala-Phe-methoxynaphthylamide or insulin B-chain hydrolysis, in the absence of ATP and synergistic with ATP"
"3.4.21.53",738,"ATP hydrolysis"
"3.4.21.53",202506,"degron binding to this site is not required for proteolysis of sul20-tagged substrates in vitro but enhances degradation by allosterically activating protease activity. Sul20 degron from the cell-division inhibitor SulA binds to the N domain of the enzyme, determination of the recognition site, overview. Allosteric role for the sul20-binding site in the N domain"
"3.4.21.53",46692,"activation, ATP hydrolysis"
"3.4.21.53",16283,"activation; glutaryl-Ala-Ala-Phe methoxynaphthylamide hydrolysis, with or without ATP"
"3.4.21.53",16283,"activation"
"3.4.21.53",99056,"stimulation of glutaryl-Ala-Ala-Phe-methoxynaphthylamide hydrolysis"
"3.4.21.53",31200,"activation; peptide hydrolysis, with or without ATP"
"3.4.21.53",31200,"activation"
"3.4.21.53",985,"activation"
"3.4.21.53",16201,"activation of peptide hydrolysis; slight activation of casein hydrolysis"
"3.4.21.53",16201,"activation of peptide hydrolysis (e.g. glutaryl-Ala-Ala-Phe-methoxynaphthylamide); no activation of bovine serum albumin hydrolysis; slight activation of casein hydrolysis"
"3.4.21.53",16289,"activation, peptide hydrolysis"
"3.4.21.53",16289,"ATP hydrolysis"
"3.4.21.53",37,"activation; hydrolysis at 113% the rate of ATP, supports proteolysis with 14% the efficiency of ATP"
"3.4.21.53",37,"not"
"3.4.21.53",37,"activation; less efficient than ATP"
"3.4.21.53",2,"ATP cannot be replaced by ADP, AMP"
"3.4.21.53",2,"ATP cannot be replaced by ADP, AMP; no activation by benzoyl-Arg-Gly-Phe-Phe-Leu methoxynaphthylamide (glutaryl-Ala-Ala-Phe methoxynaphthylamide as substrate), poly(A)"
"3.4.21.53",2,"enzyme hydroylzes proteins and ATP in a coupled process; peptide substrates, e.g. glutaryl-Ala-Phe-Phe methoxynaphthylamide or succinyl-Phe-Leu-Phe methoxynaphthylamide do not support ATP hydrolysis; polyphosphate (n:17); protein degradation requires nucleoside triphosphate hydrolysis, cleavage of small peptides only requires binding of nucleotides to the enzyme"
"3.4.21.53",2,"no activation by nonhydrolyzable proteins, e.g. native or denatured ribonuclease or lysozyme"
"3.4.21.53",2,"no activation by ubiquitin"
"3.4.21.53",2,"ATP cannot be replaced by adenosine 5'-(beta-thiotriphosphate)"
"3.4.21.53",2,"enzyme hydroylzes proteins and ATP in a coupled process; no activation by mRNA, tRNA, poly(rA), (dT)10; no activation by ubiquitin; nonhydrolyzable ATP-analogs are much less effective than ATP in supporting hydrolysis of large proteins"
"3.4.21.53",2,"degradation of proteins stimulates ATPase activity of lon"
"3.4.21.53",2,"lon gene is heat shock-induced"
"3.4.21.53",8253,"activation"
"3.4.21.53",97026,"activation"
"3.4.21.53",45837,"activation"
"3.4.21.53",2868,"activation"
"3.4.21.53",928,"changes substrate preference of enzyme and its oligomeric structure"
"3.4.21.53",928,"upon binding to a site in the ATPase domain, stimulation of degradation of ribosomal protein and inhibition of DNA-enzyme complex formation"
"3.4.21.53",928,"stimulates lon-mediated proteolysis of free ribosomal proteins and thereby down-regulates translation"
"3.4.21.53",928,"forms a complex with lon, which enables lon to degrade free ribosomal proteins. Polyphosphate with a shorter chain length is less potent in stimulating. Polyphosphate-binding site is within the ATPase domain fo lon between amino acids 320 and 437"
"3.4.21.53",928,"its binding within the ATPase domain of lon promotes the specific association and degradation of free ribosomal proteins"
"3.4.21.53",928,"stimulates lon proteolytic activity, affects substrate preference and oligomeric state of the enzyme"
"3.4.21.53",10949,"activation; stimulation of ATP hydrolysis triggers activation of the proteolytic function"
"3.4.21.53",10949,"promotion of ATP hydrolysis"
"3.4.21.53",10949,"activation; protein substrates enhance additively the stimulating effect of ATP on peptide hydrolysis and even in the absence of ATP they enhance the ability to degrade fluorogenic tripeptides; rise in ATPase activity proportional to peptide bonds cleaved"
"3.4.21.53",10949,"protein substrates, e.g. denatured bovine serum albumin induce ADP-release and promote ATP-ADP-exchange"
"3.4.21.53",30403,"ATP and protein hydrolysis"
"3.4.21.53",148,"activation, at physiological concentration, ATP hydrolysis and protease activity"
"3.4.21.53",555,"activation"
"3.4.21.88",2,"serine-119 of repressor LexA activates"
"3.4.21.88",2,"the ssDNA-RecA filament interacts with LexA and activates a self-cleaving activity in LexA"
"3.4.21.88",2,"overexpression of the SOS-inducible tisAB gene leads to higher levels of LexA repressor both in unirradiated strain AB1157 and throughout the induction period causing a delay in recA mRNA induction"
"3.4.21.88",46578,"RecA protein and single-stranded DNA are required for activity being attributed to a Ser/Lys dyad. The LexA protein represses the SOS regulon, which regulates the genes involved in DNA repair. In the presence of single-stranded DNA, the RecA protein interacts with repressor LexA, causing it to undergo an autocatalytic cleavage which disrupts the DNA-binding part of the repressor, and inactivates it. The consequent derepression of the SOS regulon leads to DNA repair"
"3.4.21.88",1880,"RecA protein and single-stranded DNA are required for activity being attributed to a Ser/Lys dyad. The LexA protein represses the SOS regulon, which regulates the genes involved in DNA repair. In the presence of single-stranded DNA, the RecA interacts with repressor LexA, causing it to undergo an autocatalytic cleavage which disrupts the DNA-binding part of the repressor, and inactivates it. The consequent derepression of the SOS regulon leads to DNA repair"
"3.4.21.89",152061,"at 37°C, degradation occurs to a lesser extent in dodecylphosphocholine micelles than in Triton X-100 or n-octyl-beta-D-glucopyranoside"
"3.4.21.89",2,"no significant difference in expression levels in the presence and absence of deuterium oxide. Elevated temperature enhances enzyme degradation, at 37°C, the protein is autolysed and degraded more than at 22°C"
"3.4.21.89",6005,""
"3.4.21.89",513,"is required to maintain activity of the membrane-incorporated signal-peptidase (full-length signal peptidase I incoporated into phospholipid vesicles). Maximal activity is achieved at about 55% phosphatidylethanolamine"
"3.4.21.89",845,"stimulate"
"3.4.21.89",61,"stimulates activity with pro-OmpA-nuclease A or a peptide substrate"
"3.4.21.89",61,"strongly stimulated by detergents"
"3.4.21.89",61,""
"3.4.21.92",141958,"allow the protease to degrade folded native proteins in the absence of its cognate chaperones"
"3.4.21.92",167968,"ClpX binding stimulates ClpP cleavage of peptides larger than a few amino acids and enhances ClpP active-site modification. Stimulation requires ATP binding but not hydrolysis by ClpX"
"3.4.21.92",2,"carbonyl cyanide m-chloro phenylhydrazone and 2,4-dinitrophenol induce the heat-shock-like response, cellular level of the heat shock regulator protein sigma-32 also increases"
"3.4.21.107",132728,"activation"
"3.4.21.107",67618,"MalS-derived peptide sequence"
"3.4.21.107",67612,""
"3.4.21.107",67606,"thermodynamic binding affinities of the peptide"
"3.4.21.107",67613,""
"3.4.21.107",67614,""
"3.4.21.107",67615,""
"3.4.21.107",67608,"thermodynamic binding affinities of the peptide"
"3.4.21.107",67609,""
"3.4.21.107",67611,""
"3.4.21.107",67607,""
"3.4.21.107",67610,""
"3.4.21.107",67617,"OmpC-derived peptide sequence"
"3.4.21.107",2,"largely indpependent of activating compounds such as reducing agents"
"3.4.21.107",2,"low osmolarity conditions result in HtrA repression together with the nucleoid associated proteins H-NS and HhA"
"3.4.21.107",2,"no activation by 3 residue presenelin-1 peptide"
"3.4.21.107",2,"allosteric activation of DegP by stress signals during bacterial protein quality control, DegP activation is based on an interaction of the activating peptide with PDZ domains"
"3.4.21.107",132729,"activation less efficient as compared to 15 residue presenilin-1 peptide"
"3.4.21.107",681,"activates at 37-45°C"
"3.4.21.107",202498,"tripeptide stimulates activity"
"3.4.21.107",67616,"PhoA-derived peptide sequence"
"3.4.23.36",2435,"detergent required for optimal activity in vitro, Triton X-100 and Nikkol support activity; nonionic detergent required for activity"
"3.4.23.36",2435,"detergent required for optimal activity in vitro, Triton X-100 and Nikkol support activity"
"3.4.23.36",2435,"required for activity, e.g. Triton X-100 or Nikkol, but not lauryl sarcoside or octylglucoside"
"3.4.23.36",2,"no requirement for phospholipid"
"3.4.23.49",62,"enhances activity"
"3.4.23.49",21,"enhances activity"
"3.4.23.49",890,"displays enzymatic activity in vitro only in presence"
"3.4.23.49",890,"i.e. LPS, rough, dependent on, interacts with the beta-barrel in the outer membrane, function and mechanism overview, smooth LPS sterically inhibits the enzyme via its O-side chain"
"3.4.23.49",890,"OmpT protein active only in the presence of; purified OmpP protease active only in the presence of, similar to OmpT protein homologue"
"3.4.23.49",6200,"required for activity, protein-lipid interactions, overview"
"3.4.23.49",6200,"e.g. LPS K12, required for activity, lipid-protein interactions, complex activity analysis on model membranes and human mononuclear cells, overview"
"3.4.23.49",845,"lipid-protein interactions"
"3.4.23.49",15993,"increases activity"
"3.4.23.49",116,"optimal concentration: 4-5 M, inclusion bodies from Escherichia coli as substrate"
"3.4.24.B17",4,"ATP-dependent metalloendoprotease belonging to the AAA family (ATPases associated with diverse cellular activities)"
"3.4.24.B17",21960,"induces conformational changes, stimulates with SecY s substrate, at concentration up to 20% v/v, slightly inhibitory with casein as a substrate"
"3.4.24.B17",2,"unfolded or uncomplexed protein substrates, protein sigma32 and casein, stimulate 1 to 2fold the wild-type enzyme and the mutants F228K, F228E, and F228A, but not G230A"
"3.4.24.B17",2,"stimulation by the proton motive force through the transmembrane region"
"3.4.24.B17",58,"stimulates, antagonist of carbonyl cyanide-3-chlorophenylhydrazone"
"3.4.24.B20",63,""
"3.4.24.B20",4,"dependent on"
"3.4.24.B20",4,"dependent on, the C-terminus comprise the cytoplasmic ATPase and protease domain. The ATPase domain contains the Walker A/B motifs and the second region of homology responsible for the binding and hydrolysis of ATP"
"3.4.25.2",11300,"the HslU C-terminal tails act as a molecular switch for the assembly of HslVU complex and the activation of HslV peptidase"
"3.4.25.2",11300,"HslV can slowly hydrolyze insulin B-chain, casein or carboxymethylated lactalbumin, but its activity is stimulated 20fold by HslU in presence of ATP"
"3.4.25.2",11300,"HslV protomer interfaces perform distinct functions: whereas intra-ring interface participates in HslV:HslU interaction resulting in allosteric activation of HslV protease by HslU, the interring interfaces uphold the oligomeric form of HslV"
"3.5.1.2",62,"slight activation"
"3.5.1.2",45,"slight activation"
"3.5.1.2",21,"slight activation"
"3.5.1.10",692,""
"3.5.1.11",69204,"the enzyme activity in 25% [bmim]dca is 1.6fold than activity in water. The enzyme activity is decreased in higher concentration of [bmim]dca"
"3.5.1.16",44,""
"3.5.1.16",16,""
"3.5.1.28",2265,""
"3.5.1.28",12504,""
"3.5.1.28",8357,""
"3.5.1.28",2656,"30% activation at 10 mM"
"3.5.1.28",695,""
"3.5.1.28",3685,""
"3.5.1.28",681,"concentrations of 0.002-0.05 mM"
"3.5.1.28",103541,""
"3.5.1.28",103542,""
"3.5.1.28",103543,""
"3.5.1.28",1358,""
"3.5.1.28",103651,""
"3.5.1.28",9277,""
"3.5.1.88",79,"2fold increase within 0-0.5 M, beyond 0.5 M smaller extend of increase"
"3.5.1.108",274,"addition of bovine serum albumin slightly increases activity"
"3.5.2.5",2,"inactive in absence of zinc"
"3.5.4.1",164,"1 mM, relative activity 120%"
"3.5.4.1",1718,"1 mM, relative activity 120%"
"3.5.4.1",105975,"1 mM, relative activity 140%"
"3.5.4.1",6515,"1 mM, relative activity 110%"
"3.5.4.1",29968,"1 mM, relative activity 130%"
"3.5.4.1",4520,"1mM, relative activity 140%"
"3.5.4.1",21,"1 mM, relative activity 101%"
"3.5.4.1",72,"1 mM, relative activity 130%"
"3.5.4.1",4826,""
"3.5.4.1",1353,""
"3.5.4.1",1353,"1 mM, relative activity 130%"
"3.5.4.1",1163,""
"3.5.4.1",1163,"1 mM, relative activity 120%"
"3.5.4.1",102,""
"3.5.4.1",102,"1 mM, relative activity 130%"
"3.5.4.1",349,""
"3.5.4.1",349,"1 mM, relative activity 120%"
"3.5.4.1",3080,""
"3.5.4.1",3080,"1 mM, relative activity 120%"
"3.5.4.1",311,"1 mM, relative activity 130%"
"3.5.4.1",127,"1 mM, relative activity 120%"
"3.5.4.1",192,"1 mM, relative activity 120%"
"3.5.4.1",104,"1 mM, relative activity 140%"
"3.5.4.1",95,"1 mM, relative activity 140%"
"3.5.4.1",250,"1 mM, relative activity 120%"
"3.5.4.1",246,"1 mM, relative activity 120%"
"3.5.4.1",2,"low-dose etoposide enhances telomerase-dependent adenovirus-mediated cytosine deaminase gene therapy through augmentation of adenoviral infection and transgene expression in a syngeneic bladder tumor model, overview"
"3.5.4.1",2,"conjugation of poly-L-lysine to cytosine deaminase improves the efficacy of enzyme/prodrug cancer therapy, e.g. by a 50times higher cellular uptake than that of control molecules in human breast MDA-MB-231 cancer cells and increase stability after uptake into cells, uptake and intracellular distribution, mechanisms, overview"
"3.5.4.5",372,""
"3.5.4.5",21,"10 mM, activity 108%"
"3.5.4.5",213,"0.10 mM, activity 105%"
"3.5.4.5",49,"0.10-0.20 mM, activity 114%"
"3.5.4.5",43,"0.105 mM, activity 112%"
"3.5.4.26",21,""
"3.5.99.6",2,"enzyme contains 5 half-cystines per monomer, the sulfhydryls are not essential for catalysis or allosteric behavior of the enzyme"
"3.5.99.6",2,"each subunit has for Cys residues located at positions 118, 219, 228 and 239, Cys118 and Cys239 form a pair of vicinal thiols"
"3.5.99.6",1930,"activates; increases reaction velocity when D-glucosamine 6-phosphate is present at levels below that required for saturation"
"3.5.99.6",1930,"activates"
"3.5.99.6",1930,""
"3.5.99.6",58095,"allosteric activator of NagB"
"3.6.1.1",4,"ATP activates hydrolysis of MgPPi by E-PPase, molecular docking and kinetic analysis involving Lys112 and Lys115, activation mechanism, and regulatory function of ATP, modelling, overview"
"3.6.1.1",144200,"a non-hydrolyzable analogue, the enzyme contains an extra binding site for the substrate magnesium diphosphate or its non-hydrolyzable analogue magnesium methylenediphosphonate, binding of substrate at the effector site of pyrophosphatase increases the rate of its hydrolysis at the active site, overview"
"3.6.1.1",31975,"noncompetitive activation of magnesium diphosphate hydrolysis"
"3.6.1.1",5782,"activates the hexameric but not the dimeric form of the enzyme at pH 6"
"3.6.1.1",2,"no activation by ADP and AMP"
"3.6.1.11",399,"50 mM, stimulates"
"3.6.1.11",79,"150-300 mM"
"3.6.1.23",34755,""
"3.6.1.24",5175,"160% of standard activity at 0.75 M"
"3.6.1.24",329,"180% of standard activity at 1 M"
"3.6.1.26",61,""
"3.6.1.27",813,""
"3.6.1.27",4134,"increases the activity with undecaprenyl diphosphate by about 400%"
"3.6.1.27",681,""
"3.6.1.27",845,""
"3.6.3.1",4,"flippase activity is essentially supported only by ATP. If the ATP concentration in the assay falls below 5 mM, there is a significant decrease in flippase activity. Maximal translocation occurs at 10 mM ATP"
"3.6.3.B1",1918,"27-82 micromol Ca2+ enhances ATPase activity in presence of Escherichia coli PE/anionic phospholipid membranes up to 3-fold"
"3.6.3.B1",177,"effect on mutant N95CC, a large stimulation of ATPase activity is only observed when both proOmpA and DTT are present"
"3.6.3.1",34756,""
"3.6.3.1",2,"GTP, AMP and AMP-PNP yield low levels of translocation compared to ATP"
"3.6.3.1",845,"The activity of purified MsbA is dependent upon the presence of phospholipids."
"3.6.3.B1",144207,"effect on mutant N95CC, a large stimulation of ATPase activity is only observed when both proOmpA and DTT are present"
"3.6.3.B1",132774,"SecA synthesized without the signal sequence on SecM is much less active on average than that synthesized in combination with normal SecM. The elongation arrest per se is not sufficient in terms of the SecA-activating ability of SecM. Targeting of nascent SecM to the membrane translocon is another crucial feature for SecM to enhance SEcA activity"
"3.6.3.2",2265,"i.e. CTAB, Mg2+-ATPase activity of ECF1 is very resistant to inhibition by cetyltrimethylammonium bromide, lower concentrations of cetyltrimethylammonium bromide stimulate Mg2+-ATPase activity of ECF1"
"3.6.3.5",132775,"solubilized ZntA is increased in the presence of negatively charged phospholipids and at slightly acidic pH. Among the most abundant naturally accuring phospholipids, only phosphatidyl-glycerol enhances the in vitro ATPase activity of TntA. Relipidation of detergent-purified ZntA with 1,2-dioleoylphosphatidyl-glycerol increases the ATPase activity 4fold compared to the purified state. Among the phosphatidylglycerol family, highest activity is observed for 1,2-dioleoyl-phosphatidylglycerol followed by 1,2-dimyristoyl-phosphatidylglycerol, 1,2-dipalmitoyl-phosphatidylglycerol and 1,2-distearoyl-phosphatidylglycerol"
"3.6.3.5",54222,"solubilized ZntA is increased in the presence of negatively charged phospholipids and at slightly acidic pH. Among the most abundant naturally accuring phospholipids, only phosphatidyl-glycerol enhances the in vitro ATPase activity of TntA. Relipidation of detergent-purified ZntA with 1,2-dioleoylphosphatidyl-glycerol increases the ATPase activity 4fold compared to the purified state. Among the phosphatidylglycerol family, highest activity is observed for 1,2-dioleoyl-phosphatidylglycerol followed by 1,2-dimyristoyl-phosphatidylglycerol, 1,2-dipalmitoyl-phosphatidylglycerol and 1,2-distearoyl-phosphatidylglycerol"
"3.6.3.5",132776,"solubilized ZntA is increased in the presence of negatively charged phospholipids and at slightly acidic pH. Among the most abundant naturally accuring phospholipids, only phosphatidyl-glycerol enhances the in vitro ATPase activity of TntA. Relipidation of detergent-purified ZntA with 1,2-dioleoylphosphatidyl-glycerol increases the ATPase activity 4fold compared to the purified state. Among the phosphatidylglycerol family, highest activity is observed for 1,2-dioleoyl-phosphatidylglycerol followed by 1,2-dimyristoyl-phosphatidylglycerol, 1,2-dipalmitoyl-phosphatidylglycerol and 1,2-distearoyl-phosphatidylglycerol"
"3.6.3.5",132777,"solubilized ZntA is increased in the presence of negatively charged phospholipids and at slightly acidic pH. Among the most abundant naturally accuring phospholipids, only phosphatidyl-glycerol enhances the in vitro ATPase activity of TntA. Relipidation of detergent-purified ZntA with 1,2-dioleoylphosphatidyl-glycerol increases the ATPase activity 4fold compared to the purified state. Among the phosphatidylglycerol family, highest activity is observed for 1,2-dioleoyl-phosphatidylglycerol followed by 1,2-dimyristoyl-phosphatidylglycerol, 1,2-dipalmitoyl-phosphatidylglycerol and 1,2-distearoyl-phosphatidylglycerol"
"3.6.3.5",74,"activates the enzyme and mutant lacking 100 residues"
"3.6.3.5",650,"solubilized ZntA is increased in the presence of negatively charged phospholipids and at slightly acidic pH. Among the most abundant naturally accuring phospholipids, only phosphatidyl-glycerol enhances the in vitro ATPase activity of TntA. Relipidation of detergent-purified ZntA with 1,2-dioleoylphosphatidyl-glycerol increases the ATPase activity 4fold compared to the purified state. Among the phosphatidylglycerol family, highest activity is observed for 1,2-dioleoyl-phosphatidylglycerol followed by 1,2-dimyristoyl-phosphatidylglycerol, 1,2-dipalmitoyl-phosphatidylglycerol and 1,2-distearoyl-phosphatidylglycerol"
"3.6.3.12",13,""
"3.6.3.12",4,""
"3.6.3.14",30137,"LDAO, stimulates F1-ATPase"
