ReactionID,EC,RegID,Metabolite,Mode,KI,Mechanism,Chebi
"SULFITE-REDUCT-RXN","1.8.1.2","REG0-8613","CPD-5401","-","NaN","NaN",33207
"ISOCIT-CLEAV-RXN","4.1.3.1","REG0-8295","CPD-546","-","NaN","NaN",17453
"RXN-11496","1.2.5.1","REG0-7981","CPD-551","-","NaN","COMPETITIVE",58383
"3.4.21.102-RXN","3.4.21.102","REG0-12288","CPD-5541","-","NaN","NaN",8102
"1PFRUCTPHOSN-RXN","2.7.1.56","REG0-9057","CPD-5541","-","NaN","IRREVERSIBLE",8102
"XANPRIBOSYLTRAN-RXN","2.4.2.22","REG0-9455","CPD-5721","-","NaN","NaN",9555
"GUANPRIBOSYLTRAN-RXN","2.4.2.8","REG0-9456","CPD-5721","-","NaN","NaN",9555
"RXN0-7008","1.5.5.2","REG0-8059","CPD-5742","-","NaN","NaN",2673
"RXN0-5268","1.10.3.10","REG0-9494","CPD-581","-","NaN","NONCOMPETITIVE",17741
"RXN0-6373","1.1.5.2","REG0-9992","CPD-6001","-","NaN","COMPETITIVE",47005
"NADPH-DEHYDROGENASE-FLAVIN-RXN","1.5.1.30","REG0-12180","CPD-605","-","NaN","NaN",17781
"FMNREDUCT-RXN","1.5.1.39","REG0-7354","CPD-605","-","NaN","COMPETITIVE",17781
"FMNREDUCT-RXN","1.5.1.39","REG0-7357","CPD-605","-","NaN","NONCOMPETITIVE",17781
"GLUTAMIN-RXN","3.5.1.38","REG0-8747","CPD-607","-","NaN","NaN",18334
"ISOCITDEH-RXN","1.1.1.42","REG0-10049","CPD-628","-","NaN","COMPETITIVE",15593
"3.4.21.102-RXN","3.4.21.102","REG0-12290","CPD-6301","-","NaN","NaN",9642
"ASPARTASE-RXN","4.3.1.1","REG0-7456","CPD-660","-","NaN","COMPETITIVE",15588
"RXN0-703","1.1.1.130","REG0-8111","CPD-660","-","NaN","COMPETITIVE",15588
"DEOXYRIBOSE-P-ALD-RXN","4.1.2.4","REG0-7443","CPD-665","-","NaN","NaN",17153
"RXN0-5260","1.1.5.3","REG0-11445","CPD-67","-","NaN","COMPETITIVE",58033
"TRIOSEPISOMERIZATION-RXN","5.3.1.1","REG0-12195","CPD-67","-","6000","COMPETITIVE",58033
"METHGLYSYN-RXN","4.2.3.3","REG0-6936","CPD-67","-","NaN","COMPETITIVE",58033
"RXN0-5224","4.2.1.1","REG0-6732","CPD-69","-","NaN","NaN",29195
"CARBPSYN-RXN","6.3.5.5","REG0-7373","CPD-69","-","NaN","COMPETITIVE",29195
"R524-RXN","4.2.1.104","REG0-7821","CPD-69","-","NaN","COMPETITIVE",29195
"BADH-RXN","1.2.1.8","REG0-10202","CPD-7031","-","NaN","COMPETITIVE",16638
"RXN0-3501","1.7.5.1","REG0-12133","CPD-7082","-","NaN","NaN",33191
"CYCPHOSDIESTER-RXN","3.1.4.16","REG0-6746","CPD-7082","-","NaN","NaN",33191
"GLYCOLATEDEHYDRO-RXN","1.1.99.14","REG0-7052","CPD-7082","-","NaN","NaN",33191
"RXN0-5266","1.10.3.14","REG0-7187","CPD-7082","-","NaN","NaN",33191
"GALACTARDEHYDRA-RXN","4.2.1.42","REG0-8767","CPD-7082","-","NaN","NaN",33191
"3-NUCLEOTID-RXN","3.1.3.6","REG0-8784","CPD-7082","-","NaN","NaN",33191
"RXN0-5268","1.10.3.10","REG0-9624","CPD-7082","-","NaN","NaN",33191
"PRPPAMIDOTRANS-RXN","2.4.2.14","REG0-11359","CPD-7388","-","NaN","NaN",20435
"THREODEHYD-RXN","1.1.1.103","REG0-7516","CPD-7388","-","NaN","NaN",20435
"THIOREDOXIN-REDUCT-NADPH-RXN","1.8.1.9","REG0-9025","CPD-7388","-","NaN","NaN",20435
"RHAMNULPALDOL-RXN","4.1.2.19","REG0-9228","CPD-7388","-","NaN","NaN",20435
"RXN-13854","1.7.1.15","REG0-8125","CPD-763","-","NaN","NaN",29242
"SULFITE-REDUCT-RXN","1.8.1.2","REG0-8611","CPD-763","-","NaN","COMPETITIVE",29242
"THIOREDOXIN-REDUCT-NADPH-RXN","1.8.1.9","REG0-9024","CPD-763","-","NaN","NaN",29242
"BIOTIN-CARBOXYL-RXN","6.3.4.14","REG0-8536","CPD-764","-","NaN","COMPETITIVE",57488
"BIOTIN-CARBOXYL-RXN","6.3.4.14","REG0-8537","CPD-764","-","NaN","NONCOMPETITIVE",57488
"AMINEPHEN-RXN","1.4.3.21","REG0-11306","CPD-7656","-","NaN","NaN",3763
"GLUTDECARBOX-RXN","4.1.1.15","REG0-9689","CPD-7673","-","NaN","COMPETITIVE",86386
"GLUTDECARBOX-RXN","4.1.1.15","REG0-9710","CPD-7673","-","NaN","COMPETITIVE",86386
"BADH-RXN","1.2.1.8","REG0-10624","CPD-7679","-","NaN","COMPETITIVE",46020
"ALADEHYDCHLORO-RXN","4.5.1.2","REG0-11956","CPD-7702","-","NaN","NaN",7959
"RXN0-3501","1.7.5.1","REG0-12136","CPD-7975","-","NaN","NaN",28362
"R601-RXN","1.3.5.4","REG0-6652","CPD-7975","-","NaN","NONCOMPETITIVE",28362
"RXN0-5268","1.10.3.10","REG0-8507","CPD-7975","-","NaN","NaN",28362
"RXN0-3501","1.7.5.1","REG0-9193","CPD-7975","-","NaN","NaN",28362
"4OHBENZOATE-OCTAPRENYLTRANSFER-RXN","2.5.1.39","REG0-7863","CPD-7988","-","NaN","NaN",9750
"CITLY-RXN","4.1.3.6","REG0-8069","CPD-8123","-","NaN","NaN",71302
"ISOCIT-CLEAV-RXN","4.1.3.1","REG0-8297","CPD-8147","-","NaN","NaN",59899
"ATPPHOSPHORIBOSYLTRANS-RXN","2.4.2.17","REG0-9618","CPD-8179","-","NaN","COMPETITIVE",84561
"ATPSYN-RXN","3.6.3.14","REG0-11933","CPD-83","-","NaN","NaN",45713
"SUCCSEMIALDDEHYDROG-RXN","1.2.1.79","REG0-10651","CPD-8774","-","NaN","COMPETITIVE",28476
"RHAMNULPALDOL-RXN","4.1.2.19","REG0-7786","CPD-8819","-","NaN","NaN",30351
"LYSDECARBOX-RXN","4.1.1.18","REG0-6935","CPD-884","-","NaN","COMPETITIVE",57826
"GLUTAMINESYN-RXN","6.3.1.2","REG0-9661","CPD-9035","-","NaN","COMPETITIVE",28490
"ETHAMLY-RXN","4.3.1.7","REG0-8103","CPD-9037","-","NaN","NONCOMPETITIVE",28115
"RXN-16659","3.4.16.4","REG0-12252","CPD-9195","-","NaN","NaN",28971
"RXN-16659","3.4.16.4","REG0-12270","CPD-9195","-","NaN","NaN",28971
"GLUTAMIN-RXN","3.5.1.38","REG0-9495","CPD-9195","-","NaN","COMPETITIVE",28971
"RXN-16649","3.4.16.4","REG0-9910","CPD-9195","-","NaN","NaN",28971
"RXN-16659","3.4.16.4","REG0-12240","CPD-9227","-","NaN","NaN",3534
"RXN0-3461","3.4","REG0-9579","CPD-9227","-","NaN","NaN",3534
"RXN-16659","3.4.16.4","REG0-12235","CPD-9228","-","NaN","NaN",3537
"RXN-16659","3.4.16.4","REG0-12268","CPD-9228","-","NaN","NaN",3537
"RXN-16659","3.4.16.4","REG0-12269","CPD-9229","-","NaN","NaN",50897
"RXN-16659","3.4.16.4","REG0-10074","CPD-9231","-","NaN","NaN",471744
"RXN-16659","3.4.16.4","REG0-12237","CPD-9231","-","NaN","NaN",471744
"RXN-16659","3.4.16.4","REG0-12249","CPD-9235","-","NaN","NaN",161680
"GLUTAMIN-RXN","3.5.1.38","REG0-7396","CPD-9384","-","NaN","COMPETITIVE",58128
"NAPHTHOATE-SYN-RXN","4.1.3.36","REG0-11192","CPD-9925","-","1.5    ","COMPETITIVE",58897
"NAD-SYNTH-NH3-RXN","6.3.1.5","REG0-7918","CPD0-1033","-","NaN","NaN",554078
"GMP-SYN-GLUT-RXN","6.3.5.2","REG0-8363","CPD0-1033","-","NaN","IRREVERSIBLE",554078
"CARBPSYN-RXN","6.3.5.5","REG0-7379","CPD0-1036","-","NaN","NaN",74545
"GMP-SYN-GLUT-RXN","6.3.5.2","REG0-8366","CPD0-1036","-","NaN","NaN",74545
"AKBLIG-RXN","2.3.1.29","REG0-6690","CPD0-1074","-","NaN","NaN",28812
"GLCNACPTRANS-RXN","2.7.8.33","REG0-7193","CPD0-1088","+","NaN","NaN",1418
"4OHBENZOATE-OCTAPRENYLTRANSFER-RXN","2.5.1.39","REG0-8973","CPD0-1088","+","NaN","NaN",1418
"GLUCARDEHYDRA-RXN","4.2.1.40","REG0-9065","CPD0-1092","-","NaN","NaN",21040
"METHGLYSYN-RXN","4.2.3.3","REG0-10328","CPD0-1102","-","NaN","COMPETITIVE",28475
"FUCPALDOL-RXN","4.1.2.17","REG0-9187","CPD0-1102","-","NaN","COMPETITIVE",28475
"RXN0-7008","1.5.5.2","REG0-9893","CPD0-1104","-","NaN","COMPETITIVE",38108
"UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN","2.5.1.7","REG0-10849","CPD0-1113","-","NaN","IRREVERSIBLE",62247
"RHAMNISOM-RXN","5.3.1.14","REG0-9225","CPD0-1114","-","NaN","NaN",45530
"ADENYL-KIN-RXN","2.7.4.3","REG0-9417","CPD0-1137","-","NaN","NaN",62041
"XANPRIBOSYLTRAN-RXN","2.4.2.22","REG0-9454","CPD0-1143","-","NaN","NaN",63486
"ENOYL-ACP-REDUCT-NADH-RXN","1.3.1.9","REG0-9628","CPD0-1227","-","NaN","IRREVERSIBLE",164200
"3.6.3.39-RXN","3.6.3.39","REG0-9631","CPD0-1229","-","NaN","NaN",49464
"3.6.3.39-RXN","3.6.3.39","REG0-9630","CPD0-1230","-","NaN","NaN",49499
"RXN0-5268","1.10.3.10","REG0-9633","CPD0-1232","-","NaN","NONCOMPETITIVE",84254
"RXN0-5266","1.10.3.14","REG0-7188","CPD0-1233","-","NaN","NaN",538736
"RXN0-5268","1.10.3.10","REG0-9634","CPD0-1233","-","NaN","NaN",538736
"NADH-DEHYDROG-A-RXN","1.6.5.3","REG0-9657","CPD0-1233","-","NaN","NaN",538736
"L-GLN-FRUCT-6-P-AMINOTRANS-RXN","2.6.1.16","REG0-9637","CPD0-1236","-","NaN","COMPETITIVE",74407
"L-GLN-FRUCT-6-P-AMINOTRANS-RXN","2.6.1.16","REG0-9640","CPD0-1237","-","NaN","COMPETITIVE",84330
"2.3.1.180-RXN","2.3.1.180","REG0-9653","CPD0-1242","-","NaN","NaN",398495
"ACP-S-ACETYLTRANSFER-RXN","2.3.1.86","REG0-9654","CPD0-1242","-","NaN","NaN",398495
"3-OXOACYL-ACP-SYNTH-BASE-RXN","2.3.1.86","REG0-9739","CPD0-1242","-","NaN","NaN",398495
"3-OXOACYL-ACP-SYNTH-RXN","2.3.1.86","REG0-9740","CPD0-1242","-","NaN","NaN",398495
"3-OXOACYL-ACP-SYNTH-BASE-RXN","2.3.1.86","REG0-9741","CPD0-1242","-","NaN","NaN",398495
"3-OXOACYL-ACP-SYNTH-RXN","2.3.1.86","REG0-9742","CPD0-1242","-","NaN","NaN",398495
"NADH-DEHYDROG-A-RXN","1.6.5.3","REG0-9656","CPD0-1244","-","NaN","NaN",25461
"ATPSYN-RXN","3.6.3.14","REG0-11931","CPD0-1250","-","NaN","NaN",78878
"TRANS-RXN0-277","1.6.1.5","REG0-9666","CPD0-1250","-","NaN","IRREVERSIBLE",78878
"ETHAMLY-RXN","4.3.1.7","REG0-9675","CPD0-1256","-","NaN","NONCOMPETITIVE",27786
"GLUTDECARBOX-RXN","4.1.1.15","REG0-9680","CPD0-1262","-","NaN","COMPETITIVE",38712
"GLUTDECARBOX-RXN","4.1.1.15","REG0-9713","CPD0-1262","-","NaN","COMPETITIVE",38712
"GLUTDECARBOX-RXN","4.1.1.15","REG0-9683","CPD0-1264","-","NaN","COMPETITIVE",76282
"GLUTDECARBOX-RXN","4.1.1.15","REG0-9709","CPD0-1264","-","NaN","COMPETITIVE",76282
"GLUTDECARBOX-RXN","4.1.1.15","REG0-9684","CPD0-1265","-","NaN","COMPETITIVE",78208
"GLUTDECARBOX-RXN","4.1.1.15","REG0-9708","CPD0-1265","-","NaN","COMPETITIVE",78208
"GLUTDECARBOX-RXN","4.1.1.15","REG0-9686","CPD0-1267","-","NaN","COMPETITIVE",30803
"GLUTDECARBOX-RXN","4.1.1.15","REG0-9706","CPD0-1267","-","NaN","COMPETITIVE",30803
"GLUTDECARBOX-RXN","4.1.1.15","REG0-9693","CPD0-1274","-","NaN","COMPETITIVE",39912
"GLUTDECARBOX-RXN","4.1.1.15","REG0-9714","CPD0-1274","-","NaN","COMPETITIVE",39912
"KDOTRANS2-RXN","2.4.99.13","REG0-7737","CPD0-1277","-","NaN","NaN",8309
"KDOTRANS-RXN","2.4.99.12","REG0-9695","CPD0-1277","-","NaN","NaN",8309
"KDOTRANS2-RXN","2.4.99.13","REG0-9699","CPD0-1281","-","NaN","NaN",87049
"KDOTRANS-RXN","2.4.99.12","REG0-9700","CPD0-1281","-","NaN","NaN",87049
"BETAGALACTOSID-RXN","3.2.1.108","REG0-9730","CPD0-1297","-","NaN","NaN",49145
"BETAGALACTOSID-RXN","3.2.1.108","REG0-9732","CPD0-1300","-","NaN","COMPETITIVE",63139
"2.5.1.19-RXN","2.5.1.19","REG0-9743","CPD0-1308","-","1","COMPETITIVE",67052
"RXN-13990","4.1.3.42","REG0-9744","CPD0-1309","-","NaN","NaN",49823
"CYTIDEAM2-RXN","3.5.4.5","REG0-9747","CPD0-1312","-","0.36    ","COMPETITIVE",46938
"URKI-RXN","2.7.1.48","REG0-9757","CPD0-1319","-","NaN","COMPETITIVE",111518
"CYTIDINEKIN-RXN","2.7.1","REG0-9758","CPD0-1319","-","NaN","COMPETITIVE",111518
"URACIL-PRIBOSYLTRANS-RXN","2.4.2.9","REG0-9769","CPD0-1327","-","13","COMPETITIVE",46345
"AKBLIG-RXN","2.3.1.29","REG0-11292","CPD0-1349","-","NaN","NaN",41674
"THREODEHYD-RXN","1.1.1.103","REG0-9791","CPD0-1349","-","NaN","NaN",41674
"PYRUVDEH-RXN","1.2.1","REG0-9795","CPD0-1353","-","NaN","COMPETITIVE",55522
"THIOREDOXIN-REDUCT-NADPH-RXN","1.8.1.9","REG0-9797","CPD0-1355","-","NaN","NaN",35456
"3.5.1.88-RXN","3.5.1.88","REG0-9801","CPD0-1358","-","NaN","NaN",220740
"3.5.1.88-RXN","3.5.1.88","REG0-9802","CPD0-1359","-","NaN","NaN",3330
"SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN","1.3.5.1","REG0-9822","CPD0-1366","-","NaN","OTHER",3405
"SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN","1.3.5.1","REG0-9823","CPD0-1367","-","NaN","COMPETITIVE",25185
"SERINE--TRNA-LIGASE-RXN","6.1.1.11","REG0-9836","CPD0-1378","-","NaN","COMPETITIVE",75494
"TRANS-RXN0-623","6.2.1.3","REG0-12425","CPD0-1385","-","NaN","NaN",29221
"RXN0-7238","6.2.1.3","REG0-12428","CPD0-1385","-","NaN","NaN",29221
"RXN0-7239","6.2.1.3","REG0-12429","CPD0-1385","-","NaN","NaN",29221
"RXN0-7248","6.2.1.3","REG0-12476","CPD0-1385","-","NaN","NaN",29221
"ACYLCOASYN-RXN","6.2.1.3","REG0-9857","CPD0-1385","-","NaN","NaN",29221
"RIBONUCLEOSIDE-DIP-REDUCTI-RXN","1.17.4.1","REG0-9867","CPD0-1392","-","NaN","NaN",27899
"RIBONUCLEOSIDE-DIP-REDUCTI-RXN","1.17.4.1","REG0-9868","CPD0-1395","-","NaN","IRREVERSIBLE",25941
"SAMDECARB-RXN","4.1.1.50","REG0-11014","CPD0-1396","-","NaN","COMPETITIVE",129623
"PYRIDOXKIN-RXN","2.7.1.35","REG0-9888","CPD0-1408","-","200","COMPETITIVE",359238
"PPGPPSYN-RXN","3.1.7.2","REG0-9896","CPD0-1414","-","NaN","NaN",71392
"CARDIOLIPSYN-RXN","2.7.8","REG0-9906","CPD0-1422","-","NaN","NaN",72859
"CARDIOLIPSYN-RXN","2.7.8","REG0-9907","CPD0-1423","-","NaN","NaN",82921
"CARDIOLIPSYN-RXN","2.7.8","REG0-9909","CPD0-1425","-","NaN","NaN",83550
"3.4.11.18-RXN","3.4.11.18","REG0-9975","CPD0-1436","-","NaN","IRREVERSIBLE",48635
"S-ADENMETSYN-RXN","2.5.1.6","REG0-9979","CPD0-1437","-","NaN","NaN",43515
"GLUTRACE-RXN","5.1.1.3","REG0-10005","CPD0-1456","+","NaN","NaN",83898
"UDP-NACMURALGLDAPLIG-RXN","6.3.2.13","REG0-8671","CPD0-1456","-","NaN","NaN",83898
"GLYOCARBOLIG-RXN","4.1.1.47","REG0-10011","CPD0-1464","-","NaN","NaN",27906
"GLYRIBONUCSYN-RXN","6.3.4.13","REG0-10014","CPD0-1465","-","NaN","COMPETITIVE",40532
"POLYPHOSPHATE-KINASE-RXN","2.7.4.1","REG0-10020","CPD0-1470","-","NaN","NaN",30087
"POLYPHOSPHATE-KINASE-RXN","2.7.4.1","REG0-10021","CPD0-1470","+","NaN","NaN",30087
"DEOXYRIBOSE-P-ALD-RXN","4.1.2.4","REG0-10028","CPD0-1476","-","NaN","NaN",28142
"IMIDPHOSDEHYD-RXN","4.2.1.19","REG0-10042","CPD0-1491","-","NaN","COMPETITIVE",40036
"RXN0-6277","1","REG0-10047","CPD0-1496","-","NaN","NaN",29678
"DTMPKI-RXN","2.7.4.12","REG0-10069","CPD0-1508","-","NaN","COMPETITIVE",246346
"DIAMINOPIMDECARB-RXN","4.1.1.20","REG0-10143","CPD0-1577","-","NaN","NaN",50868
"DIHYDROFOLATEREDUCT-RXN","1.5.1.3","REG0-10148","CPD0-1581","-","NaN","COMPETITIVE",45924
"DIHYDROFOLATEREDUCT-RXN","1.5.1.3","REG0-10158","CPD0-1590","-","NaN","NaN",101138
"RXN0-5055","6.4.1.2","REG0-10166","CPD0-1598","-","NaN","COMPETITIVE",400801
"RXN0-5462","3.6.5.1","REG0-10172","CPD0-1606","-","NaN","COMPETITIVE",71321
"GALACTOACETYLTRAN-RXN","2.3.1.18","REG0-8722","CPD0-1608","-","NaN","NaN",86360
"GALACTUROISOM-RXN","5.3.1.12","REG0-7832","CPD0-1610","-","NaN","NaN",33192
"GLUCUROISOM-RXN","5.3.1.12","REG0-7867","CPD0-1610","-","NaN","NaN",33192
"ATPSYN-RXN","3.6.3.14","REG0-11932","CPD0-1624","-","NaN","NaN",30111
"ACYL-COA-HYDROLASE-RXN","3.1.2.20","REG0-7975","CPD0-1625","-","NaN","NaN",43830
"RXN0-5224","4.2.1.1","REG0-6731","CPD0-1626","-","NaN","NaN",27690
"RXN0-5515","2.7.7.41","REG0-7065","CPD0-1629","+","NaN","NaN",27729
"AMP-NUCLEOSID-RXN","3.2.2.4","REG0-8416","CPD0-1634","+","NaN","ALLOSTERIC",30617
"PRPPSYN-RXN","2.7.6.1","REG0-11840","CPD0-1651","-","NaN","ALLOSTERIC",87194
"ADENYLYLSULFKIN-RXN","2.7.1.25","REG0-7621","CPD0-1651","-","NaN","COMPETITIVE",87194
"ADENYLYLSULFKIN-RXN","2.7.1.25","REG0-7623","CPD0-1651","-","NaN","NaN",87194
"ALCOHOL-DEHYDROG-RXN","1.1.1.1","REG0-7134","CPD0-1652","-","44","NONCOMPETITIVE",5141
"MANNONDEHYDRAT-RXN","4.2.1.8","REG0-9305","CPD0-1656","-","NaN","NONCOMPETITIVE",32323
"BADH-RXN","1.2.1.8","REG0-10193","CPD0-1675","-","NaN","COMPETITIVE",327449
"PEPCARBOX-RXN","4.1.1.31","REG0-10206","CPD0-1682","+","NaN","NaN",47032
"RXN0-3501","1.7.5.1","REG0-9192","CPD0-1686","-","NaN","NaN",32155
"N-ACETYLTRANSFER-RXN","2.3.1.1","REG0-6943","CPD0-1690","-","NaN","NaN",6253
"7-ALPHA-HYDROXYSTEROID-DEH-RXN","1.1.1.159","REG0-10210","CPD0-1693","-","NaN","NaN",30808
"7-ALPHA-HYDROXYSTEROID-DEH-RXN","1.1.1.159","REG0-10209","CPD0-1694","-","NaN","NaN",30812
"7-ALPHA-HYDROXYSTEROID-DEH-RXN","1.1.1.159","REG0-10211","CPD0-1695","-","NaN","NaN",35696
"7-ALPHA-HYDROXYSTEROID-DEH-RXN","1.1.1.159","REG0-10213","CPD0-1696","-","NaN","NaN",53001
"DIACYLGLYKIN-RXN","2.7.1.107","REG0-10365","CPD0-1812","-","NaN","NaN",73990
"GLURS-RXN","6.1.1.17","REG0-10399","CPD0-1883","-","NaN","COMPETITIVE",744602
"3.4.15.5-RXN","3.4.15.5","REG0-12303","CPD0-2067","-","NaN","NaN",3380
"RXN-16659","3.4.16.4","REG0-12241","CPD0-2068","-","NaN","NaN",3547
"RXN-16659","3.4.16.4","REG0-12242","CPD0-2069","-","NaN","NaN",3515
"NADPH-DEHYDROGENASE-FLAVIN-RXN","1.5.1.30","REG0-10642","CPD0-2301","-","NaN","NaN",77986
"NADH-DEHYDROG-A-RXN","1.6.5.3","REG0-10747","CPD0-2356","-","NaN","NaN",49701
"UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN","2.5.1.7","REG0-11800","CPD0-2537","-","NaN","NaN",64362
"ASPARTATE--TRNA-LIGASE-RXN","6.1.1.12","REG0-8472","CPD0-916","-","NaN","NaN",74089
"TRYPTOPHAN--TRNA-LIGASE-RXN","6.1.1.2","REG0-7527","CPD0-920","-","8.5    ","COMPETITIVE",79394
"THI-P-SYN-RXN","2.5.1.3","REG0-9100","CREATINE-P","-","NaN","NaN",58092
"CYTIDINEKIN-RXN","2.7.1","REG0-6764","CTP","-","NaN","NaN",37563
"RXN0-5515","2.7.7.41","REG0-7062","CTP","-","NaN","COMPETITIVE",37563
"CTPSYN-RXN","6.3.4.2","REG0-7070","CTP","-","NaN","COMPETITIVE",37563
"URKI-RXN","2.7.1.48","REG0-7638","CTP","-","NaN","NaN",37563
"ASPCARBTRANS-RXN","2.1.3.2","REG0-7800","CTP","-","NaN","ALLOSTERIC",37563
"GLUTAMINESYN-RXN","6.3.1.2","REG0-8902","CTP","-","NaN","NaN",37563
"THI-P-SYN-RXN","2.5.1.3","REG0-9103","CTP","-","NaN","NaN",37563
"PHOSPHOGLUCMUT-RXN","5.4.2.2","REG0-7416","CU+","-","NaN","NaN",49552
"RXN-15313","4.1.3.3","REG-14660","CU+2","-","NaN","NaN",29036
"S-FORMYLGLUTATHIONE-HYDROLASE-RXN","3.1.2.12","REG0-10250","CU+2","-","NaN","NaN",29036
"S-FORMYLGLUTATHIONE-HYDROLASE-RXN","3.1.2.12","REG0-10251","CU+2","-","NaN","NaN",29036
"7-ALPHA-HYDROXYSTEROID-DEH-RXN","1.1.1.159","REG0-10255","CU+2","-","NaN","NaN",29036
"GLUTAMIN-RXN","3.5.1.38","REG0-10621","CU+2","-","NaN","NaN",29036
"INOSINEKIN-RXN","2.7.1.73","REG0-10637","CU+2","-","NaN","NaN",29036
"GUANOSINEKIN-RXN","2.7.1.73","REG0-10639","CU+2","-","NaN","NaN",29036
"GLYOXIII-RXN","4.2.1","REG0-11195","CU+2","-","NaN","NaN",29036
"RXN0-5120","2.4.1","REG0-12147","CU+2","-","NaN","NaN",29036
"GLYOXII-RXN","3.1.2.6","REG0-12174","CU+2","-","NaN","NaN",29036
"GLYOXII-RXN","3.1.2.6","REG0-12175","CU+2","-","NaN","NaN",29036
"AKBLIG-RXN","2.3.1.29","REG0-6695","CU+2","-","NaN","NaN",29036
"AMINOPROPDEHYDROG-RXN","1.1.1.75","REG0-6716","CU+2","-","NaN","NaN",29036
"CYCPHOSDIESTER-RXN","3.1.4.16","REG0-6749","CU+2","-","NaN","NaN",29036
"RXN0-299","1.14.11.17","REG0-6791","CU+2","-","NaN","NaN",29036
"GLYCDEH-RXN","1.1.1.6","REG0-6880","CU+2","-","NaN","NaN",29036
"LACTALDDEHYDROG-RXN","1.2.1.22","REG0-6931","CU+2","-","NaN","NaN",29036
"N-ACETYLTRANSFER-RXN","2.3.1.1","REG0-6946","CU+2","-","NaN","NaN",29036
"GLUTDECARBOX-RXN","4.1.1.15","REG0-7163","CU+2","-","NaN","NaN",29036
"POLYPHOSPHATE-KINASE-RXN","2.7.4.1","REG0-7282","CU+2","-","NaN","NaN",29036
"TETHYDPICSUCC-RXN","2.3.1.117","REG0-7441","CU+2","-","NaN","NaN",29036
"THREODEHYD-RXN","1.1.1.103","REG0-7521","CU+2","-","NaN","NaN",29036
"3.4.15.5-RXN","3.4.15.5","REG0-7529","CU+2","-","NaN","NaN",29036
"ACNEULY-RXN","4.1.3.3","REG0-7548","CU+2","-","NaN","NaN",29036
"ACETYLORNTRANSAM-RXN","2.6.1.11","REG0-7709","CU+2","-","NaN","NaN",29036
"GLYOCARBOLIG-RXN","4.1.1.47","REG0-7740","CU+2","-","NaN","NaN",29036
"GALACTUROISOM-RXN","5.3.1.12","REG0-7837","CU+2","-","NaN","NaN",29036
"GLUCUROISOM-RXN","5.3.1.12","REG0-7874","CU+2","-","NaN","NaN",29036
"GLUTSEMIALDEHYDROG-RXN","1.2.1.41","REG0-7965","CU+2","-","NaN","NaN",29036
"CYTDEAM-RXN","3.5.4.1","REG0-8075","CU+2","-","1.8    ","COMPETITIVE",29036
"ACETYLORNDEACET-RXN","3.5.1.16","REG0-8085","CU+2","-","NaN","NaN",29036
"RXN0-5256","1.12.99.6","REG0-8142","CU+2","-","NaN","NaN",29036
"ALLANTOINASE-RXN","3.5.2.5","REG0-8163","CU+2","-","NaN","NaN",29036
"1.1.1.283-RXN","1.1.1.283","REG0-8181","CU+2","-","NaN","NaN",29036
"KDO-8PPHOSPHAT-RXN","3.1.3.45","REG0-8245","CU+2","-","NaN","NaN",29036
"N-ACETYLGLUTPREDUCT-RXN","1.2.1.38","REG0-8385","CU+2","-","NaN","NaN",29036
"GLYCOPHOSPHORYL-RXN","2.4.1.1","REG0-8447","CU+2","-","NaN","NaN",29036
"KDO-8PSYNTH-RXN","2.5.1.55","REG0-8516","CU+2","-","NaN","NaN",29036
"CROBETREDUCT-RXN","1.3.99","REG0-8535","CU+2","-","NaN","NaN",29036
"GLUTDECARBOX-RXN","4.1.1.15","REG0-8579","CU+2","-","NaN","NaN",29036
"3-NUCLEOTID-RXN","3.1.3.6","REG0-8787","CU+2","-","NaN","NaN",29036
"D-PPENTOMUT-RXN","5.4.2.7","REG0-8823","CU+2","-","NaN","NaN",29036
"MANNOSE-ISOMERASE-RXN","5.3.1.7","REG0-9432","CU+2","-","NaN","NaN",29036
"RXN0-6277","1","REG0-6787","CUSO4","-","NaN","NaN",23414
"GLYCOLATEDEHYDRO-RXN","1.1.99.14","REG0-7056","CUSO4","-","NaN","NaN",23414
"RXN0-5146","3.2.1.196","REG0-8665","CUSO4","-","NaN","NaN",23414
"ALKAPHOSPHA-RXN","3.1.3.1","REG0-11766","CYS","-","NaN","NaN",35235
"DCYSDESULF-RXN","4.4.1.15","REG0-11959","CYS","-","530","MIXED",35235
"TRANS-RXN0-593","3.6.3.21","REG0-12097","CYS","-","NaN","NaN",35235
"AKBLIG-RXN","2.3.1.29","REG0-6693","CYS","-","NaN","NaN",35235
"7KAPSYN-RXN","2.3.1.47","REG0-7076","CYS","-","NaN","NaN",35235
"ALKAPHOSPHA-RXN","3.1.3.1","REG0-7372","CYS","-","NaN","NaN",35235
"PHOSPHOGLUCMUT-RXN","5.4.2.2","REG0-7419","CYS","+","NaN","NaN",35235
"GALACTUROISOM-RXN","5.3.1.12","REG0-7830","CYS","-","NaN","NaN",35235
"GLUCUROISOM-RXN","5.3.1.12","REG0-7868","CYS","-","NaN","NaN",35235
"HOMOSERKIN-RXN","2.7.1.39","REG0-7934","CYS","-","NaN","COMPETITIVE",35235
