,EC_number,subsystem,dG0_prime,dG0_prime_std,dGm_prime,log10(RI),formula
ntd9,3.1.3.5,Nucleotide Salvage Pathway,-5.49,3.4,-22.61,-2.64,C00001 + C00144 <=> C00009 + C00387
ntd9pp,3.1.3.5,Nucleotide Salvage Pathway,-5.49,3.4,-22.61,-2.64,C00001 + C00144 <=> C00009 + C00387
ntp1,3.6.4.9,Nucleotide Salvage Pathway,-27.09,0.31,-44.2,-5.17,C00001 + C00002 <=> C00008 + C00009
ntp10,3.6.1.5,Nucleotide Salvage Pathway,-30.81,1.48,-47.92,-5.6,C00001 + C00081 <=> C00009 + C00104
ntp11,,Nucleotide Salvage Pathway,-29.72,1.27,-46.84,-5.47,C00001 + C01345 <=> C00009 + C01344
ntp3,3.6.5.6,Nucleotide Salvage Pathway,-24.59,1.37,-41.71,-4.87,C00001 + C00044 <=> C00009 + C00035
ntp3pp,3.6.5.6,Nucleotide Salvage Pathway,-24.59,1.37,-41.71,-4.87,C00001 + C00044 <=> C00009 + C00035
ntp5,3.6.1.5,Nucleotide Salvage Pathway,-26.6,2.32,-43.71,-5.11,C00001 + C00063 <=> C00009 + C00112
ntpp1,3.6.1.19,Nucleotide Salvage Pathway,-43.34,2.42,-60.46,-7.06,C00001 + C00286 <=> C00013 + C00362
ntpp10,3.6.1.66,Nucleotide Salvage Pathway,-43.22,2.52,-60.33,-7.05,C00001 + C01345 <=> C00013 + C06196
ntpp11,3.6.1.66,Nucleotide Salvage Pathway,-43.22,2.52,-60.33,-7.05,C00001 + C00700 <=> C00013 + C00655
ntpp2,3.6.1.8,Nucleotide Salvage Pathway,-34.62,1.89,-51.74,-6.05,C00001 + C00044 <=> C00013 + C00144
ntpp3,3.6.1.65,Nucleotide Salvage Pathway,-41.7,2.42,-58.81,-6.87,C00001 + C00458 <=> C00013 + C00239
ntpp4,3.6.1.8,Nucleotide Salvage Pathway,-36.83,2.33,-53.95,-6.3,C00001 + C00063 <=> C00013 + C00055
ntpp5,3.6.1.19,Nucleotide Salvage Pathway,-43.22,2.52,-60.34,-7.05,C00001 + C00131 <=> C00013 + C00360
ntpp6,3.6.1.8,Nucleotide Salvage Pathway,-37.99,0.58,-55.1,-6.44,C00001 + C00002 <=> C00013 + C00020
ntpp7,3.6.1.19,Nucleotide Salvage Pathway,-38.94,2.62,-56.05,-6.55,C00001 + C00459 <=> C00013 + C00364
ntpp8,3.6.1.8,Nucleotide Salvage Pathway,-31.73,3.89,-48.84,-5.71,C00001 + C00075 <=> C00013 + C00105
ntpp9,3.6.1.8,Nucleotide Salvage Pathway,-11.75,2.96,-28.86,-3.37,C00001 + C00081 <=> C00013 + C00130
ntptp1,3.1.5.1,Nucleotide Salvage Pathway,-58.93,0.0,-76.04,-8.89,C00001 + C00286 <=> C00330 + C00536
ntptp2,,Nucleotide Salvage Pathway,-58.86,0.0,-75.97,-8.88,C00001 + C00044 <=> C00387 + C00536
oaadc,4.1.1.3,Pyruvate Metabolism,-14.83,3.16,-31.94,-3.73,C00036 <=> C00011 + C00022
obtfl,2.3.1.54,Alternate Carbon Metabolism,-2.06,4.8,-2.06,-0.18,C00010 + C00109 <=> C00058 + C00100
octdps,2.5.1.90,Cofactor and Prosthetic Group Biosynthesis,-377.12,14.58,-377.12,-11.02,5 C00129 + C00448 <=> 5 C00013 + C04146
ohphm,2.1.1.222,Cofactor and Prosthetic Group Biosynthesis,-10.64,100000.0,-10.64,-0.93,C00019 + C05811 <=> C00021 + C05812
omcdc,1.1.1.85,"Valine, Leucine, and Isoleucine Metabolism",-16.91,4.35,-34.03,-3.98,C04236 <=> C00011 + C00233
ompdc,4.1.1.23,Purine and Pyrimidine Biosynthesis,-26.04,8.58,-43.15,-5.04,C01103 <=> C00011 + C00105
op4enh,4.2.1.80,Alternate Carbon Metabolism,-0.72,1.48,-0.72,-0.13,C00001 + C00596 <=> C03589
ophbdc,4.1.1.98,Cofactor and Prosthetic Group Biosynthesis,-8.89,3.33,-26.0,-3.04,C05809 <=> C00011 + C05810
ophhx,,Cofactor and Prosthetic Group Biosynthesis,-211.37,2.36,-202.81,-28.44,0.5 C00007 + C05810 <=> C05811
ophhx3,,Cofactor and Prosthetic Group Biosynthesis,-38.08,2.12,-72.31,-2.53,3 C00001 + 2 C00002 + C00003 + C05810 <=> C00004 + 2 C00008 + 2 C00009 + C05811
orndc,4.1.1.17,Arginine and Proline Metabolism,-42.72,5.28,-59.84,-6.99,C00077 <=> C00011 + C00134
orpt,2.4.2.10,Purine and Pyrimidine Biosynthesis,-11.02,1.32,-11.02,-0.97,C00013 + C01103 <=> C00119 + C00295
oxamtc,2.1.3.5,Unassigned,7.33,4.97,7.33,0.64,C00009 + C00802 <=> C00169 + C01444
oxcdc,4.1.1.8,Alternate Carbon Metabolism,-15.32,5.62,-32.43,-3.79,C00313 <=> C00011 + C00798
paccoal,6.2.1.30,Alternate Carbon Metabolism,-75.1,2.19,-75.1,-4.39,C00002 + C00010 + C00548 <=> C00013 + C00020 + C00582
papsr,1.8.4.8,Cysteine Metabolism,-38.14,6.19,-55.25,-3.87,C00053 + C00342 <=> C00054 + C00094 + C00343
pde1,3.1.4.53,Nucleotide Salvage Pathway,-43.9,1.14,-43.9,-7.7,C00001 + C00575 <=> C00020
pde4,3.1.4.35,Nucleotide Salvage Pathway,-40.48,3.16,-40.48,-7.1,C00001 + C00942 <=> C00144
pdh,1.2.4.1,Glycolysis/Gluconeogenesis,-35.65,3.25,-35.65,-2.08,C00003 + C00010 + C00022 <=> C00004 + C00011 + C00024
pdx5po2,,Cofactor and Prosthetic Group Biosynthesis,18.69,1.01,18.69,1.64,C00003 + C00627 <=> C00004 + C00018
pdx5poi,1.4.3.5,Cofactor and Prosthetic Group Biosynthesis,-112.24,4.27,-112.24,-9.84,C00007 + C00627 <=> C00018 + C00027
pdx5ps,,Cofactor and Prosthetic Group Biosynthesis,-231.17,5.48,-248.28,-12.43,C00003 + C06055 + C11437 <=> 2 C00001 + C00004 + C00009 + C00011 + C00627
pdxpp,3.1.3.74,Cofactor and Prosthetic Group Biosynthesis,-17.04,2.17,-34.16,-3.99,C00001 + C00627 <=> C00009 + C00314
perd,1.1.1.290,Cofactor and Prosthetic Group Biosynthesis,18.16,0.98,18.16,1.59,C00003 + C03393 <=> C00004 + C06054
pfk,2.7.1.11,Glycolysis/Gluconeogenesis,-17.72,0.68,-17.72,-1.55,C00002 + C00085 <=> C00008 + C00354
pfk_3,2.7.1.11,Pentose Phosphate Pathway,-10.91,2.91,-10.91,-0.96,C00002 + C05382 <=> C00008 + C00447
pfl,2.3.1.54,Pyruvate Metabolism,-21.16,1.51,-21.16,-1.85,C00010 + C00022 <=> C00024 + C00058
pgamt,5.4.2.10,Cell Envelope Biosynthesis,-7.14,3.2,-7.14,-1.25,C03783 <=> C00352
pgcd,1.1.1.95,Glycine and Serine Metabolism,32.02,0.57,32.02,2.81,C00003 + C00197 <=> C00004 + C03232
pgi,5.3.1.9,Glycolysis/Gluconeogenesis,2.52,0.39,2.52,0.44,C00092 <=> C00085
pgk,2.7.2.3,Glycolysis/Gluconeogenesis,18.64,0.45,18.64,1.63,C00002 + C00197 <=> C00008 + C00236
pgl,3.1.1.31,Pentose Phosphate Pathway,-23.79,1.68,-23.79,-4.17,C00001 + C01236 <=> C00345
pglycp,3.1.3.18,Alternate Carbon Metabolism,-28.69,2.07,-45.8,-5.35,C00001 + C00988 <=> C00009 + C00160
pgm,5.4.2.12,Glycolysis/Gluconeogenesis,-4.15,0.36,-4.15,-0.73,C00631 <=> C00197
pgmt,5.4.2.5,Alternate Carbon Metabolism,-7.42,0.75,-7.42,-1.3,C00103 <=> C00092
phytspp,,Alternate Carbon Metabolism,-30.23,8.29,-132.92,-5.82,6 C00001 + C01204 <=> 6 C00009 + C00137
pmanm,5.4.2.8,Alternate Carbon Metabolism,-4.32,1.51,-4.32,-0.76,C00636 <=> C00275
pmdpht,3.1.3.-,Cofactor and Prosthetic Group Biosynthesis,-13.84,1.23,-30.95,-3.62,C00001 + C04454 <=> C00009 + C04732
pmpk,2.7.4.7,Cofactor and Prosthetic Group Biosynthesis,-3.03,1.8,-3.03,-0.27,C00002 + C04556 <=> C00008 + C04752
ppa,3.6.1.1,Anaplerotic Reactions,-14.86,0.19,-31.97,-3.74,C00001 + C00013 <=> 2 C00009
ppa2,3.6.1.25,Anaplerotic Reactions,-27.25,0.0,-44.37,-5.18,C00001 + C00536 <=> C00009 + C00013
ppakr,2.7.2.15,Alternate Carbon Metabolism,-33.26,2.83,-33.26,-2.91,C00008 + C02876 <=> C00002 + C00163
ppbngs,4.2.1.24,Cofactor and Prosthetic Group Biosynthesis,-110.63,4.01,-93.51,-10.93,2 C00430 <=> 2 C00001 + C00931
ppc,4.1.1.31,Anaplerotic Reactions,-38.07,3.15,-38.07,-3.34,C00001 + C00011 + C00074 <=> C00009 + C00036
ppcdc,4.1.1.36,Cofactor and Prosthetic Group Biosynthesis,-20.96,3.11,-38.08,-4.45,C04352 <=> C00011 + C01134
ppck,4.1.1.49,Anaplerotic Reactions,10.98,3.16,-6.14,-0.43,C00002 + C00036 <=> C00008 + C00011 + C00074
ppcsct,2.8.3.1,Alternate Carbon Metabolism,-17.33,3.27,-17.33,-1.52,C00042 + C00100 <=> C00091 + C00163
ppgppdp,3.1.7.2,Cofactor and Prosthetic Group Biosynthesis,-22.36,7.6,-39.48,-4.61,C00001 + C01228 <=> C00013 + C00035
ppk2r,,Oxidative Phosphorylation,-13.25,0.0,-13.25,-1.16,C00002 + C00013 <=> C00008 + C00536
ppkr,,Oxidative Phosphorylation,-12.23,0.32,-12.23,-1.07,C00002 + C00009 <=> C00008 + C00013
ppm,5.4.2,Alternate Carbon Metabolism,-13.37,1.91,-13.37,-2.34,C00620 <=> C03736
ppm2,5.4.2.7,Alternate Carbon Metabolism,-28.93,3.4,-28.93,-5.07,C00672 <=> C00673
ppndh,4.2.1.91,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",-70.04,9.34,-87.16,-10.18,C00254 <=> C00001 + C00011 + C00166
pppgo,1.3.3.4,Cofactor and Prosthetic Group Biosynthesis,-0.0,0.0,25.67,2.57,1.5 C00007 + C01079 <=> 3 C00001 + C02191
pppgo3,1.3.3.4,Cofactor and Prosthetic Group Biosynthesis,-0.05,0.0,-0.05,-0.0,3 C00122 + C01079 <=> 3 C00042 + C02191
pppndo,1.14.12.19,Alternate Carbon Metabolism,-393.68,6.72,-376.56,-26.4,C00004 + C00007 + C05629 <=> C00003 + C11588
pps,2.7.9.2,Glycolysis/Gluconeogenesis,0.05,0.5,-17.07,-1.2,C00001 + C00002 + C00022 <=> C00009 + C00020 + C00074
ppthpp,,Unassigned,-44.69,0.0,-61.8,-7.22,C00001 + C06701 <=> C00009 + C00282
pragsr,6.3.4.13,Purine and Pyrimidine Biosynthesis,-23.01,2.2,-23.01,-1.34,C00002 + C00037 + C03090 <=> C00008 + C00009 + C03838
prais,6.3.3.1,Purine and Pyrimidine Biosynthesis,73.7,100000.0,56.59,3.97,C00002 + C04640 <=> C00008 + C00009 + C03373
praii,5.3.1.24,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",-5.79,1.21,-5.79,-1.02,C04302 <=> C01302
prampc,3.5.4.19,Histidine Metabolism,-0.02,0.0,-0.02,-0.0,C00001 + C02741 <=> C04896
pratpp,3.6.1.31,Histidine Metabolism,-79.48,0.0,-96.59,-11.29,C00001 + C02739 <=> C00013 + C02741
prmici,5.3.1.16,Histidine Metabolism,-5.76,1.21,-5.76,-1.01,C04896 <=> C04916
prpps,2.7.6.1,Histidine Metabolism,-1.76,1.95,-1.76,-0.15,C00002 + C03736 <=> C00020 + C00119
pscvt,2.5.1.19,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",-12.79,2.29,-12.79,-1.12,C00074 + C03175 <=> C00009 + C01269
pta2,2.3.1.8,Alternate Carbon Metabolism,17.53,3.31,17.53,1.54,C00009 + C00100 <=> C00010 + C02876
ptar,2.3.1.8,Pyruvate Metabolism,9.43,0.61,9.43,0.83,C00009 + C00024 <=> C00010 + C00227
ptpati,2.7.7.3,Cofactor and Prosthetic Group Biosynthesis,-13.72,5.16,-13.72,-1.2,C00002 + C01134 <=> C00013 + C00882
punp1,2.4.2.1,Nucleotide Salvage Pathway,7.91,1.34,7.91,0.69,C00009 + C00212 <=> C00147 + C00620
punp2,2.4.2.1,Nucleotide Salvage Pathway,11.03,3.42,11.03,0.97,C00009 + C00559 <=> C00147 + C00672
punp3,2.4.2.15,Nucleotide Salvage Pathway,10.98,2.09,10.98,0.96,C00009 + C00387 <=> C00242 + C00620
punp4,2.4.2.4,Nucleotide Salvage Pathway,15.48,3.75,15.48,1.36,C00009 + C00330 <=> C00242 + C00672
punp5,2.4.2.15,Nucleotide Salvage Pathway,8.79,1.08,8.79,0.77,C00009 + C00294 <=> C00262 + C00620
punp6,2.4.2.4,Nucleotide Salvage Pathway,9.5,1.71,9.5,0.83,C00009 + C05512 <=> C00262 + C00672
punp7,2.4.2.1,Nucleotide Salvage Pathway,10.48,2.96,10.48,0.92,C00009 + C01762 <=> C00385 + C00620
pydamk,2.7.1.35,Cofactor and Prosthetic Group Biosynthesis,-13.3,2.68,-13.3,-1.17,C00002 + C00534 <=> C00008 + C00647
pydxk,2.7.1.35,Cofactor and Prosthetic Group Biosynthesis,-15.76,1.98,-15.76,-1.38,C00002 + C00250 <=> C00008 + C00018
pydxnk,2.7.1.35,Cofactor and Prosthetic Group Biosynthesis,-10.05,2.17,-10.05,-0.88,C00002 + C00314 <=> C00008 + C00627
pydxpp,3.1.3.74,Cofactor and Prosthetic Group Biosynthesis,-11.32,1.98,-28.44,-3.32,C00001 + C00018 <=> C00009 + C00250
pyk,2.7.1.40,Glycolysis/Gluconeogenesis,-25.81,0.43,-25.81,-2.26,C00008 + C00074 <=> C00002 + C00022
pynp2r,2.4.2.3,Nucleotide Salvage Pathway,1.14,1.32,1.14,0.1,C00009 + C00299 <=> C00106 + C00620
quindh,1.1.1.282,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",14.14,2.96,14.14,1.24,C00003 + C00296 <=> C00004 + C00944
qulns,2.5.1.72,Cofactor and Prosthetic Group Biosynthesis,-226.92,3.84,-226.92,-19.89,C00111 + C05840 <=> 2 C00001 + C00009 + C03722
r15bpk,2.7.4.23,Alternate Carbon Metabolism,9.05,2.51,9.05,0.79,C00002 + C01151 <=> C00008 + C00119
r1pk,,Alternate Carbon Metabolism,-25.51,2.58,-25.51,-2.24,C00002 + C00620 <=> C00008 + C01151
rbfk,2.7.1.26,Cofactor and Prosthetic Group Biosynthesis,2.76,5.95,2.76,0.24,C00002 + C00255 <=> C00008 + C00061
rbfsa,2.5.1.78,Cofactor and Prosthetic Group Biosynthesis,-83.34,10.78,-83.34,-7.3,C04732 + C15556 <=> 2 C00001 + C00009 + C04332
rbfsb,2.5.1.9,Cofactor and Prosthetic Group Biosynthesis,-160.62,22.51,-160.62,-14.08,2 C04332 <=> C00255 + C04732
rmi,5.3.1.14,Alternate Carbon Metabolism,0.18,1.71,0.18,0.03,C00507 <=> C00861
rmk,2.7.1.5,Alternate Carbon Metabolism,-3.28,2.78,-3.28,-0.29,C00002 + C00861 <=> C00008 + C01131
rndr1,1.17.4.1,Nucleotide Salvage Pathway,-44.47,3.64,-44.47,-3.9,C00008 + C00342 <=> C00001 + C00206 + C00343
rndr2,1.17.4.1,Nucleotide Salvage Pathway,-38.51,2.97,-38.51,-3.37,C00035 + C00342 <=> C00001 + C00343 + C00361
rndr3,1.17.4.1,Nucleotide Salvage Pathway,-40.5,2.88,-40.5,-3.55,C00112 + C00342 <=> C00001 + C00343 + C00705
rndr4,1.17.4.1,Nucleotide Salvage Pathway,-39.55,2.29,-39.55,-3.47,C00015 + C00342 <=> C00001 + C00343 + C01346
rz5pp,3.1.3.73,Cofactor and Prosthetic Group Biosynthesis,-13.97,1.23,-31.09,-3.63,C00001 + C04778 <=> C00009 + C05775
s7pi,5.3.1.28,Lipopolysaccharide Biosynthesis / Recycling,1.48,2.28,1.48,0.26,C05382 <=> C07836
sadt2,2.7.7.4,Cysteine Metabolism,23.79,1.8,6.67,0.33,C00001 + C00002 + C00044 + C00059 <=> C00009 + C00013 + C00035 + C00224
sarcox,1.5.3.1,Glycine and Serine Metabolism,-76.99,5.83,-94.1,-6.6,C00001 + C00007 + C00213 <=> C00027 + C00037 + C00067
sbtpd,1.1.1.140,Alternate Carbon Metabolism,13.1,1.75,13.1,1.15,C00003 + C01096 <=> C00004 + C00085
sdpds,3.5.1.18,Threonine and Lysine Metabolism,8.01,3.7,-9.1,-1.06,C00001 + C04421 <=> C00042 + C00666
selnps,2.7.9.3,Unassigned,-127.36,0.0,-144.47,-10.13,C00001 + C00002 + C01528 <=> C00009 + C00020 + C05172
sephchcs,2.2.1.9,Cofactor and Prosthetic Group Biosynthesis,30.59,5.26,30.59,2.68,C00026 + C00885 <=> C00011 + C16519
sgsad,1.2.1.71,Arginine and Proline Metabolism,-44.84,1.12,-44.84,-3.93,C00001 + C00003 + C05932 <=> C00004 + C05931
shchcs3,4.2.99.20,Cofactor and Prosthetic Group Biosynthesis,-128.57,3.93,-145.69,-17.02,C16519 <=> C00022 + C05817
shchd2,1.3.1.76,Cofactor and Prosthetic Group Biosynthesis,-44.88,0.0,-44.88,-3.93,C00003 + C02463 <=> C00004 + C05778
shk3dr,1.1.1.282,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",-76.82,4.03,-76.82,-6.73,C00005 + C02637 <=> C00006 + C00493
shkk,2.7.1.71,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",-7.05,1.68,-7.05,-0.62,C00002 + C00493 <=> C00008 + C03175
spmdat1,2.3.1.57,Arginine and Proline Metabolism,-20.22,1.76,-20.22,-1.77,C00024 + C00315 <=> C00010 + C00612
spmdat2,2.6.1.29,Arginine and Proline Metabolism,-20.1,1.76,-20.1,-1.76,C00024 + C00315 <=> C00010 + C01029
spms,2.5.1.16,Arginine and Proline Metabolism,15.99,100000.0,15.99,1.4,C00134 + C01137 <=> C00170 + C00315
spodm,1.15.1.1,Unassigned,86.61,0.0,86.61,7.59,2 C00704 <=> C00007 + C00027
spodmpp,1.15.1.1,Unassigned,86.61,0.0,86.61,7.59,2 C00704 <=> C00007 + C00027
ssalx,1.2.1.24,Arginine and Proline Metabolism,-37.9,2.38,-37.9,-3.32,C00001 + C00003 + C00232 <=> C00004 + C00042
ssaly,1.2.1.79,Arginine and Proline Metabolism,-37.71,2.39,-37.71,-3.31,C00001 + C00006 + C00232 <=> C00005 + C00042
sucbzl,6.2.1.26,Cofactor and Prosthetic Group Biosynthesis,-15.64,1.47,-15.64,-0.91,C00002 + C00010 + C02730 <=> C00013 + C00020 + C03160
sucbzs,4.2.1.113,Cofactor and Prosthetic Group Biosynthesis,-12.7,5.99,-12.7,-2.23,C05817 <=> C00001 + C02730
sucoas,6.2.1.5,Citric Acid Cycle,-1.6,1.35,-1.6,-0.09,C00002 + C00010 + C00042 <=> C00008 + C00009 + C00091
sucptspp,,"Transport, Inner Membrane",-37.99,3.07,-37.99,-3.33,C00074 + C00089 <=> C00022 + C02591
sulri,1.8.1.2,Cysteine Metabolism,-117.6,4.79,-117.6,-5.15,3 C00005 + C00094 <=> 3 C00001 + 3 C00006 + C00283
tagurr,1.1.1.58,Alternate Carbon Metabolism,11.97,1.56,11.97,1.05,C00003 + C00817 <=> C00004 + C00558
tala,2.2.1.2,Pentose Phosphate Pathway,-0.71,1.43,-0.71,-0.06,C00118 + C05382 <=> C00085 + C00279
taudo,1.14.11.17,Alternate Carbon Metabolism,-187.01,70710.68,-204.13,-10.22,C00007 + C00026 + C00245 <=> C00011 + C00042 + C00094 + C06735
tdp,3.6.1.15,Cofactor and Prosthetic Group Biosynthesis,-25.3,1.79,-42.42,-4.96,C00001 + C00068 <=> C00009 + C01081
tdpdre,5.1.3.13,Cell Envelope Biosynthesis,-12.34,1.9,-12.34,-2.16,C11907 <=> C00688
tdpdrr,1.1.1.133,Cell Envelope Biosynthesis,-3.99,1.56,-3.99,-0.35,C00005 + C00688 <=> C00006 + C03319
tdpgdh,4.2.1.46,Cell Envelope Biosynthesis,-46.2,2.99,-46.2,-8.1,C00842 <=> C00001 + C11907
tdsk,2.7.1.130,Lipopolysaccharide Biosynthesis / Recycling,-12.13,1.39,-12.13,-1.06,C00002 + C04932 <=> C00008 + C04919
thd2pp,1.6.1.1,Oxidative Phosphorylation,0.18,0.34,0.18,0.02,C00004 + C00006 <=> C00003 + C00005
thdps,2.3.1.117,Threonine and Lysine Metabolism,20.95,5.22,20.95,1.84,C00001 + C00091 + C03972 <=> C00010 + C04462
thfat,2.1.2.10,Folate Metabolism,68.71,7.32,68.71,12.04,C00001 + C00445 <=> C03479
thiordxi,1.11.1.16,Unassigned,-315.52,3.62,-298.41,-34.87,C00027 + C00342 <=> 2 C00001 + C00343
tmdk1,2.7.1.21,Nucleotide Salvage Pathway,-16.66,2.98,-16.66,-1.46,C00002 + C00214 <=> C00008 + C00364
tmdpp,2.4.2.4,Nucleotide Salvage Pathway,4.99,4.52,4.99,0.44,C00009 + C00214 <=> C00178 + C00672
tmds,2.1.1.45,Nucleotide Salvage Pathway,-44.47,2.95,-44.47,-3.9,C00143 + C00365 <=> C00364 + C00415
tmk,2.7.1.89,Cofactor and Prosthetic Group Biosynthesis,-5.15,2.51,-5.15,-0.45,C00002 + C00378 <=> C00008 + C01081
tmpk,2.7.4.16,Cofactor and Prosthetic Group Biosynthesis,-1.78,1.8,-1.78,-0.16,C00002 + C01081 <=> C00008 + C00068
tmppp,2.5.1.3,Cofactor and Prosthetic Group Biosynthesis,-5.03,2.96,-5.03,-0.44,C04327 + C04752 <=> C00013 + C01081
tpi,5.3.1.1,Glycolysis/Gluconeogenesis,5.52,0.56,5.52,0.97,C00111 <=> C00118
trdr,1.8.1.9,Oxidative Phosphorylation,-8.66,1.49,-8.66,-0.76,C00005 + C00343 <=> C00006 + C00342
tre6pp,3.1.3.12,Alternate Carbon Metabolism,-6.84,2.23,-23.95,-2.8,C00001 + C00689 <=> C00009 + C01083
tre6ps,2.4.1.15,Alternate Carbon Metabolism,-18.01,1.89,-18.01,-1.58,C00029 + C00092 <=> C00015 + C00689
treptspp,2.7.1.69,"Transport, Inner Membrane",-46.05,2.24,-46.05,-4.04,C00074 + C01083 <=> C00022 + C00689
trps3,4.2.1.20,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",19.19,2.96,2.08,0.24,C03506 <=> C00118 + C00463
uacgalppp,,Alternate Carbon Metabolism,-30.42,3.39,-47.53,-5.55,C00001 + C00203 <=> C00105 + C18060
uacgamppp,,Alternate Carbon Metabolism,-33.01,4.89,-50.12,-5.86,C00001 + C00043 <=> C00105 + C04256
uacmamo,1.1.1.336,Cell Envelope Biosynthesis,-25.58,1.33,-25.58,-1.49,C00001 + 2 C00003 + C01170 <=> 2 C00004 + C06240
uag2e,5.1.3.14,Cell Envelope Biosynthesis,0.03,2.68,0.03,0.01,C00043 <=> C01170
uagcvt,2.5.1.7,Cell Envelope Biosynthesis,-12.51,3.73,-12.51,-1.1,C00043 + C00074 <=> C00009 + C04631
uagdp,2.7.7.23,Cell Envelope Biosynthesis,1.28,2.96,1.28,0.11,C00075 + C04256 <=> C00013 + C00043
uapgr,1.3.1.98,Cell Envelope Biosynthesis,-58.42,1.27,-58.42,-5.12,C00005 + C04631 <=> C00006 + C01050
udpg4e,5.1.3.2,Alternate Carbon Metabolism,2.95,0.84,2.95,0.52,C00029 <=> C00052
udpgalm,5.4.99.9,Cell Envelope Biosynthesis,4.78,1.83,4.78,0.84,C00052 <=> C03733
udpgalppp,3.6.1.45,Alternate Carbon Metabolism,-31.12,4.18,-48.23,-5.64,C00001 + C00052 <=> C00105 + C00446
udpgd,1.1.1.22,Cell Envelope Biosynthesis,-21.42,2.21,-21.42,-1.25,C00001 + 2 C00003 + C00029 <=> 2 C00004 + C00167
udpgppp,3.6.1.9,Alternate Carbon Metabolism,-33.99,3.82,-51.11,-5.97,C00001 + C00029 <=> C00103 + C00105
uglcurppp,,Alternate Carbon Metabolism,-33.71,4.89,-50.82,-5.94,C00001 + C00167 <=> C00105 + C05385
uglt,2.7.7.12,Alternate Carbon Metabolism,-2.88,1.75,-2.88,-0.25,C00029 + C00446 <=> C00052 + C00103
ugmdds,6.3.2.10,Cell Envelope Biosynthesis,-29.06,1.71,-29.06,-1.7,C00002 + C00993 + C04877 <=> C00008 + C00009 + C04882
uhgada,3.5.1.108,Lipopolysaccharide Biosynthesis / Recycling,-6.7,1.8,-23.81,-2.78,C00001 + C04738 <=> C00033 + C06022
ula4nft,2.1.2.13,Lipopolysaccharide Biosynthesis / Recycling,1.78,5.44,1.78,0.16,C00234 + C16153 <=> C00101 + C16154
umpk,2.7.4.4,Nucleotide Salvage Pathway,-4.6,3.22,-4.6,-0.4,C00002 + C00105 <=> C00008 + C00015
upp3mt,2.1.1.107,Cofactor and Prosthetic Group Biosynthesis,68.43,282842.72,68.43,4.0,2 C00019 + C01051 <=> 2 C00021 + C02463
upp3s,4.2.1.75,Cofactor and Prosthetic Group Biosynthesis,-338.49,400000.0,-338.49,-59.33,C01024 <=> C00001 + C01051
uppdc1,4.1.1.37,Cofactor and Prosthetic Group Biosynthesis,-24.7,12.48,-93.16,-5.44,C01051 <=> 4 C00011 + C03263
upprt,2.4.2.9,Nucleotide Salvage Pathway,-15.32,4.38,-15.32,-1.34,C00106 + C00119 <=> C00013 + C00105
urdglycd,1.1.1.350,Alternate Carbon Metabolism,-12.53,5.4,-12.53,-1.1,C00003 + C00603 <=> C00004 + C00802
uric,1.7.3.3,Unassigned,-93.58,8.72,-110.69,-7.76,2 C00001 + C00007 + C00366 <=> C00011 + C00027 + C01551
urik2,2.7.1.48,Nucleotide Salvage Pathway,-15.91,4.38,-15.91,-1.39,C00044 + C00299 <=> C00035 + C00105
xand,1.17.1.4,Nucleotide Salvage Pathway,-24.32,4.58,-24.32,-2.13,C00001 + C00003 + C00385 <=> C00004 + C00366
xppt,2.4.2.8,Nucleotide Salvage Pathway,-21.55,2.41,-21.55,-1.89,C00119 + C00385 <=> C00013 + C00655
