,bigg.metabolite,bigg.reaction,Commentary,Compound,EC_number,KEGG_ID,KI_Value,LigandID,LigandName,Literature,Mode,Organism,Source,chebiID,SPL
815,glu5sa,gf6pta,ReactionID=L-GLN-FRUCT-6-P-AMINOTRANS-RXN,,2.6.1.16,,,L-GLUTAMATE_GAMMA-SEMIALDEHYDE,,,-,Escherichia coli,EcoCyc,CHEBI:58066,5.0
816,glu__d,gludy,ReactionID=GLUTDEHYD-RXN,,1.4.1.4,,,D-GLT,,,-,Escherichia coli,EcoCyc,CHEBI:29986,3.0
817,glu__d,glusy,50% inhibition at concentrations below 7 mM,D-Glutamate,1.4.1.13,C00217,,344,D-glutamate,391438,-,Escherichia coli,BRENDA,CHEBI:15966,3.0
818,glu__l,asnn,ReactionID=GLUTAMIN-RXN,,3.5.1.38,,,GLT,,,-,Escherichia coli,EcoCyc,CHEBI:29985,3.0
819,glu__l,aspk,"pH 8.0, 25°C, aspartokinase III",L-Glutamate,2.7.2.4,C00025,128.0,41,L-glutamate,642329,-,Escherichia coli,BRENDA,CHEBI:16015,3.0
820,glu__l,csnd,,L-Glutamate,3.5.4.1,C00025,,1163,L-Glutamic acid,209489,+,Escherichia coli,BRENDA,CHEBI:16015,3.0
821,glu__l,dapdc,ReactionID=DIAMINOPIMDECARB-RXN,L-Glutamate,4.1.1.20,C00025,,3205,glutamic acid,4110,-,Escherichia coli,BRENDA,CHEBI:16015,3.0
822,glu__l,gf6pta,ReactionID=L-GLN-FRUCT-6-P-AMINOTRANS-RXN,,2.6.1.16,,,GLT,,,-,Escherichia coli,EcoCyc,CHEBI:29985,1.0
823,glu__l,glntrs,"wild-type enzyme, pH 7.2, 37°C",L-Glutamate,6.1.1.18,C00025,96.0,1163,L-Glutamic acid,651246,-,Escherichia coli,BRENDA,CHEBI:16015,3.0
824,glu__l,glusy,50% inhibition at concentrations between 17 and 35 mM,L-Glutamate,1.4.1.13,C00025,,41,L-glutamate,391438,-,Escherichia coli,BRENDA,CHEBI:16015,1.0
825,glu__l,hsk,wild-type enzyme,L-Glutamate,2.7.1.39,C00025,0.2,1163,L-Glutamic acid,641471,-,Escherichia coli,BRENDA,CHEBI:16015,3.0
826,glu__l,me2,ReactionID=MALIC-NADP-RXN,,1.1.1.40,,,GLT,,,+,Escherichia coli,EcoCyc,CHEBI:29985,3.0
827,glu__l,prfgs,,L-Glutamate,6.3.5.3,C00025,,343,Glu,1670,-,Escherichia coli,BRENDA,CHEBI:16015,1.0
828,glu__l,tmds,,L-Glutamate,2.1.1.45,C00025,,297,glutamate,485375,-,Escherichia coli,BRENDA,CHEBI:16015,3.0
829,glu__l,uamags,,L-Glutamate,6.3.2.9,C00025,,202,L-Glu,1293,-,Escherichia coli,BRENDA,CHEBI:16015,3.0
830,glx,achbs,isozyme AHAS II,Glyoxylate,2.2.1.6,C00048,,101,glyoxylate,671290,-,Escherichia coli,BRENDA,CHEBI:16891,5.0
831,glx,hopntal,"pH 8.0, 25°C",Glyoxylate,4.1.3.39,C00048,0.4,101,glyoxylate,702377,-,Escherichia coli,BRENDA,CHEBI:16891,5.0
832,glx,icl,linear competitive inhibitor,Glyoxylate,4.1.3.1,C00048,,101,glyoxylate,33156,-,Escherichia coli,BRENDA,CHEBI:16891,1.0
833,glx,pdh,weak,Glyoxylate,1.2.4.1,C00048,0.5,3343,glyoxylic acid,348956,-,Escherichia coli,BRENDA,CHEBI:16891,3.0
834,gly,alaalar,,,6.3.2.4,,,163,Gly,1235,-,Escherichia coli,BRENDA,CHEBI:57305,3.0
835,gly,csnd,,,3.5.4.1,,,72,glycine,209497,+,Escherichia coli,BRENDA,CHEBI:57305,3.0
836,gly,fthfd,ReactionID=FORMYLTHFDEFORMYL-RXN,Glycine,3.5.1.10,C00037,,72,glycine,208968,-,Escherichia coli,BRENDA,CHEBI:57305,3.0
837,gly,glns,ReactionID=GLUTAMINESYN-RXN,Glycine,6.3.1.2,C00037,,163,Gly,37497,-,Escherichia coli,BRENDA,CHEBI:57305,3.0
838,gly,glusy,significant inhibitor,,1.4.1.13,,,72,glycine,391438,-,Escherichia coli,BRENDA,CHEBI:57305,3.0
839,gly,ocbt,,,2.1.3.3,,15.0,72,glycine,485898,-,Escherichia coli,BRENDA,CHEBI:57305,3.0
840,gly,pgcd,ReactionID=PGLYCDEHYDROG-RXN,Glycine,1.1.1.95,C00037,,72,glycine,287546,-,Escherichia coli,BRENDA,CHEBI:57305,3.0
841,gly,serat,"competitive against L-serine, noncompetitive against acetyl-CoA",Glycine,2.3.1.30,C00037,,72,glycine,486778,-,Escherichia coli,BRENDA,CHEBI:57305,3.0
842,gly,serd_d,"25°C, pH 7.8",,4.3.1.18,,4.9,163,Gly,210805,-,Escherichia coli,BRENDA,CHEBI:57305,3.0
843,gly,uamas,,,6.3.2.8,,,163,Gly,"1286, 1289",-,Escherichia coli,BRENDA,CHEBI:57305,3.0
844,glyald,betaldhx,ReactionID=BADH-RXN,D-Glyceraldehyde,1.2.1.8,C00577,,GLYCERALD,,,-,Escherichia coli,EcoCyc,CHEBI:17378,3.0
845,glyald,dxps,competitive inhibition with respect to pyruvate,D-Glyceraldehyde,2.2.1.7,C00577,3.2,639,D-glyceraldehyde,719975,-,Escherichia coli,BRENDA,CHEBI:17378,5.0
846,glyb,glns,,,6.3.1.2,,,21728,glycinebetaine,667442,+,Escherichia coli,BRENDA,CHEBI:41139,3.0
847,glyc,aspt,,Glycerol,4.3.1.1,C00116,,135,glycerol,6001,+,Escherichia coli,BRENDA,CHEBI:17754,5.0
848,glyc,fum,wild-type enzyme is inhibited due to a viscogenic effect on the recycling rate,Glycerol,4.2.1.2,C00116,,135,glycerol,653600,-,Escherichia coli,BRENDA,CHEBI:17754,5.0
849,glyc,glyk,ReactionID=GLYCEROL-KIN-RXN,Glycerol,2.7.1.30,C00116,,GLYCEROL,,,-,Escherichia coli,EcoCyc,CHEBI:17754,1.0
850,glyc,tmds,,Glycerol,2.1.1.45,C00116,,135,glycerol,485431,-,Escherichia coli,BRENDA,CHEBI:17754,5.0
851,glyc3p,ab6pgh,,,3.2.1.86,,,102724,DL-alpha-glycerol-phosphate,136924,-,Escherichia coli,BRENDA,CHEBI:57597,5.0
852,glyc3p,fba,ReactionID=F16ALDOLASE-RXN,,4.1.2.13,,,422,sn-glycerol 3-phosphate,4914,+,Escherichia coli,BRENDA,CHEBI:57597,3.0
853,glyc3p,g3pd2,"0.05 mM, 26% inhibition",,1.1.1.94,,0.0044,4581,DL-glycerol 3-phosphate,287523,-,Escherichia coli,BRENDA,CHEBI:57597,1.0
854,glyc3p,glyk,ReactionID=GLYCEROL-KIN-RXN,,2.7.1.30,,,445,glycerol 3-phosphate,641287,-,Escherichia coli,BRENDA,CHEBI:57597,1.0
855,glyc3p,pgsa120,inhibition of CDP-diacylglycerol formation,,2.7.8.5,,,445,glycerol 3-phosphate,644286,-,Escherichia coli,BRENDA,CHEBI:57597,1.0
856,glyclt,gcaldd,substrate inhibition,Glycolate,1.2.1.21,C00160,0.00085,479,glycolate,390213,-,Escherichia coli,BRENDA,CHEBI:17497,1.0
857,glyclt,icl,50% inhibition at 5 mM,Glycolate,4.1.3.1,C00160,,479,glycolate,33117,-,Escherichia coli,BRENDA,CHEBI:17497,3.0
858,glyclt,mals,ReactionID=MALSYN-RXN,,2.3.3.9,,,GLYCOLLATE,,,-,Escherichia coli,EcoCyc,CHEBI:29805,3.0
859,glyclt,pants,30% inhibition at 1 mM,Glycolate,6.3.2.1,C00160,,479,glycolate,"977, 978",-,Escherichia coli,BRENDA,CHEBI:17497,5.0
860,gmp,adpt,ReactionID=GUANPRIBOSYLTRAN-RXN,,2.4.2.8,,,GMP,,,-,Escherichia coli,EcoCyc,CHEBI:58115,3.0
861,gmp,cdappa120,,GMP,3.6.1.26,C00144,,162,GMP,210004,-,Escherichia coli,BRENDA,CHEBI:17345,5.0
862,gmp,ctps2,,GMP,6.3.4.2,C00144,,162,GMP,674909,-,Escherichia coli,BRENDA,CHEBI:17345,3.0
863,gmp,gluprt,"approx. 2.5 mM, complete inhibition, highly sigmoidal inhibition curve, competitive vs. 5-phospho-alpha-D-ribose 1-diphosphate, GMP and AMP together have an synergistic effect on inhibition",GMP,2.4.2.14,C00144,,162,GMP,489747,-,Escherichia coli,BRENDA,CHEBI:17345,3.0
864,gmp,gmps2,"0.33 mM, 50% inhibition",GMP,6.3.5.2,C00144,0.33,162,GMP,649891,-,Escherichia coli,BRENDA,CHEBI:17345,1.0
865,gmp,gsnk,ReactionID=GUANOSINEKIN-RXN,,2.7.1.73,,,GMP,,,-,Escherichia coli,EcoCyc,CHEBI:58115,1.0
866,gmp,impd,competitive with respect to IMP and non competitive with respect to NAD+,GMP,1.1.1.205,C00144,0.092,162,GMP,347909,-,Escherichia coli,BRENDA,CHEBI:17345,3.0
867,gsn,ctps2,,Guanosine,6.3.4.2,C00387,,296,guanosine,674909,-,Escherichia coli,BRENDA,CHEBI:16750,3.0
868,gsn,cytd,"1.0 mM, 4% inhibition",Guanosine,3.5.4.5,C00387,,296,guanosine,209644,-,Escherichia coli,BRENDA,CHEBI:16750,5.0
869,gsn,dgk1,ReactionID=GUANYL-KIN-RXN,Guanosine,2.7.4.8,C00387,,GUANOSINE,,,-,Escherichia coli,EcoCyc,CHEBI:16750,3.0
870,gthox,adsk,thioredoxin reverses inactivation,Glutathione disulfide,2.7.1.25,C00127,,1794,oxidized glutathione,641217,-,Escherichia coli,BRENDA,CHEBI:17858,5.0
871,gthox,asad,oxidized glutathione,Glutathione disulfide,1.2.1.11,C00127,,330,GSSG,654891,-,Escherichia coli,BRENDA,CHEBI:17858,3.0
872,gthox,gthor,ReactionID=GLUTATHIONE-REDUCT-NADPH-RXN,,1.8.1.7,,,OXIDIZED-GLUTATHIONE,,,-,Escherichia coli,EcoCyc,CHEBI:58297,1.0
873,gthox,papsr,"reversible inhibition, forms mixed disulfides with the enzymes active site residue Cys239, inactivation kinetics, inhibition is reversible by glutaredoxin, not by DTT, glutaredoxin together with glutathione exhibits regulatory function in vivo",Glutathione disulfide,1.8.4.8,C00127,,1794,oxidized glutathione,659214,-,Escherichia coli,BRENDA,CHEBI:17858,5.0
874,gtp,3ntd2pp,,GTP,3.1.3.6,C00044,,37,GTP,656266,-,Escherichia coli,BRENDA,CHEBI:15996,5.0
875,gtp,adncyc,ReactionID=ADENYLATECYC-RXN,GTP,4.6.1.1,C00044,,37,GTP,"34764, 34813",-,Escherichia coli,BRENDA,CHEBI:15996,3.0
876,gtp,aspct,"GTP inhibits ATCase activity. Experimentally driven, statistical modeling approach (high-dimensional model representation, RS-HDMR) to investigate regulation of ATCase in response to varying concentrations of its nucleotide regulators ATP, CTP, GTP, and UTP (at fixed substrate concentrations)",GTP,2.1.3.2,C00044,,37,GTP,485837,-,Escherichia coli,BRENDA,CHEBI:15996,3.0
877,gtp,cbps,,GTP,6.3.5.5,C00044,,37,GTP,1731,+,Escherichia coli,BRENDA,CHEBI:15996,3.0
878,gtp,ctps2,"inhibition of glutamine-dependent CTP formation above 0.15 mM, inhibition of glutamine-dependent CTP formation in a concentration-dependent manner",GTP,6.3.4.2,C00044,0.12,37,GTP,648962,+,Escherichia coli,BRENDA,CHEBI:15996,3.0
879,gtp,dgk1,ReactionID=GUANYL-KIN-RXN,,2.7.4.8,,,GTP,,,-,Escherichia coli,EcoCyc,CHEBI:37565,3.0
880,gtp,durik1,,GTP,2.7.1.21,C00044,,37,GTP,641123,+,Escherichia coli,BRENDA,CHEBI:15996,3.0
881,gtp,glgc,physiological relevant inhibition,GTP,2.7.7.27,C00044,,37,GTP,643126,-,Escherichia coli,BRENDA,CHEBI:15996,3.0
882,gtp,gluprt,"5 mM, 79% inhibition",GTP,2.4.2.14,C00044,,37,GTP,489747,-,Escherichia coli,BRENDA,CHEBI:15996,3.0
883,gtp,glusy,16% inhibition at 25 mM and 43% inhibition at 50 mM,GTP,1.4.1.13,C00044,,37,GTP,391438,-,Escherichia coli,BRENDA,CHEBI:15996,3.0
884,gtp,gsnk,ReactionID=GUANOSINEKIN-RXN,GTP,2.7.1.73,C00044,,37,GTP,641928,-,Escherichia coli,BRENDA,CHEBI:15996,3.0
885,gtp,impd,,GTP,1.1.1.205,C00044,,37,GTP,347946,-,Escherichia coli,BRENDA,CHEBI:15996,3.0
886,gtp,lysdc,,GTP,4.1.1.18,C00044,,37,GTP,714832,-,Escherichia coli,BRENDA,CHEBI:15996,3.0
887,gtp,metat,,GTP,2.5.1.6,C00044,,37,GTP,639056,-,Escherichia coli,BRENDA,CHEBI:15996,3.0
888,gtp,mthfd,ReactionID=METHYLENETHFDEHYDROG-NADP-RXN,GTP,1.5.1.5,C00044,,37,GTP,"392307, 392308",-,Escherichia coli,BRENDA,CHEBI:15996,3.0
889,gtp,ndpk1,ReactionID=NUCLEOSIDE-DIP-KIN-RXN,,2.7.4.6,,,GTP,,,-,Escherichia coli,EcoCyc,CHEBI:37565,1.0
890,gtp,ntd1,"0.2 mM, 28% residual activity",GTP,3.1.3.89,C00044,,37,GTP,656266,-,Escherichia coli,BRENDA,CHEBI:15996,3.0
891,gtp,ntd10,,GTP,3.1.3.5,C00044,,37,GTP,656266,-,Escherichia coli,BRENDA,CHEBI:15996,3.0
892,gtp,ntp12,ReactionID=RXN0-5073,,3.6.1,,,GTP,,,-,Escherichia coli,EcoCyc,CHEBI:37565,3.0
893,gtp,ntptp1,competitive inhibitor,GTP,3.1.5.1,C00044,,37,GTP,135502,-,Escherichia coli,BRENDA,CHEBI:15996,3.0
894,gtp,orndc,ReactionID=ORNDECARBOX-RXN,,4.1.1.17,,,GTP,,,+,Escherichia coli,EcoCyc,CHEBI:37565,3.0
895,gtp,ppc,ReactionID=PEPCARBOX-RXN,GTP,4.1.1.31,C00044,,37,GTP,4286,+,Escherichia coli,BRENDA,CHEBI:15996,3.0
896,gtp,pyk,ReactionID=PEPDEPHOS-RXN,,2.7.1.40,,,GTP,,,-,Escherichia coli,EcoCyc,CHEBI:37565,3.0
897,gtp,tmppp,"4 mM, 76.7% inhibition",GTP,2.5.1.3,C00044,,37,GTP,639722,-,Escherichia coli,BRENDA,CHEBI:15996,3.0
898,gtp,upprt,ReactionID=URACIL-PRIBOSYLTRANS-RXN,GTP,2.4.2.9,C00044,,37,GTP,638362,+,Escherichia coli,BRENDA,CHEBI:15996,3.0
899,gua,punp1,,Guanine,2.4.2.1,C00242,,199,Guanine,489654,-,Escherichia coli,BRENDA,CHEBI:16235,3.0
900,h2o2,acnml,"0% residual activity at 10 mM, 16% residual activity at 1 mM",,4.1.3.3,,,1126,hydrogen peroxide,33314,-,Escherichia coli,BRENDA,CHEBI:29192,5.0
901,h2o2,cat,inactivation half-life: 20-30 min at 2 mM,,1.11.1.6,,,22,H2O2,439792,-,Escherichia coli,BRENDA,CHEBI:29192,1.0
902,h2o2,cbps,"0.2 mM, inhibits Gln-dependent activity. No effect on the activity with NH4+ in carbamoyl-phosphate synthase reaction",,6.3.5.5,,,22,H2O2,"1725, 1731",-,Escherichia coli,BRENDA,CHEBI:29192,5.0
903,h2o2,cpppgo2,enzyme inactivation at 30%,,1.3.99.22,,,22,H2O2,711348,-,Escherichia coli,BRENDA,CHEBI:29192,3.0
904,h2o2,csnd,"only Fe2+CDase, Mn2+CDase, Co2+CDase and Zn2+CDase are not inhibited",Hydrogen peroxide,3.5.4.1,C00027,,22,H2O2,209503,-,Escherichia coli,BRENDA,CHEBI:29192,3.0
905,h2o2,dhcindo,,,1.13.11.16,,,22,H2O2,395595,-,Escherichia coli,BRENDA,CHEBI:29192,7.0
906,h2o2,edd,the enzyme is much less sensitive to O2 or H2O2 than to O2-,,4.2.1.12,,,22,H2O2,33658,-,Escherichia coli,BRENDA,CHEBI:29192,7.0
907,h2o2,qulns,"1 mM, inactivation",,2.5.1.72,,,22,H2O2,684659,-,Escherichia coli,BRENDA,CHEBI:29192,3.0
908,h2o2,rndr1,,,1.17.4.1,,,22,H2O2,437927,+,Escherichia coli,BRENDA,CHEBI:29192,3.0
909,h2o2,selnps,62% inhibition at 10 mM,,2.7.9.3,,,22,H2O2,645490,-,Escherichia coli,BRENDA,CHEBI:29192,5.0
910,h2o2,spodm,"Cu,Zn-SOD; no inhibition: Mn-SOD",Hydrogen peroxide,1.15.1.1,C00027,,22,H2O2,438096,-,Escherichia coli,BRENDA,CHEBI:29192,1.0
911,h2o2,thrtrs,"oxidizes cysteine182 residue critical for editing, which leads to Ser-tRNAThr formation and protein mistranslation that impaired growth of Escherichia coli. Presence of major heat shock proteases is required to allow cell growth in medium containing serine and hydrogen peroxide, which suggests that the mistranslated proteins are misfolded",,6.1.1.3,,,1126,hydrogen peroxide,716771,-,Escherichia coli,BRENDA,CHEBI:29192,5.0
912,h2o2,tkt1,,,2.2.1.1,,,1126,hydrogen peroxide,694217,+,Escherichia coli,BRENDA,CHEBI:29192,5.0
913,h2s,no3r2bpp,inactivates in absence of cyanide,,1.7.99.4,,,318,Sulfide,395167,-,Escherichia coli,BRENDA,CHEBI:29919,5.0
914,h2s,spodm,"substrate analogue, formation of a green complex upon binding",,1.15.1.1,,,5554,HS-,672026,-,Escherichia coli,BRENDA,CHEBI:29919,5.0
915,h2s,sulri,"reduction of sulfite, nitrite, hydroxylamine by reduced methyl viologen",,1.8.1.2,,,318,Sulfide,348059,-,Escherichia coli,BRENDA,CHEBI:29919,1.0
916,hco3,cfas160e,,Carbonic acid,2.1.1.79,C01353,,1136,bicarbonate,680343,+,Escherichia coli,BRENDA,CHEBI:28976,5.0
917,hco3,lacz,,Carbonic acid,3.2.1.23,C01353,,2953,Carbonate,679236,-,Escherichia coli,BRENDA,CHEBI:28976,5.0
918,hcys__l,hcysmt,,,2.1.1.10,,,747,homocysteine,441382,+,Escherichia coli,BRENDA,CHEBI:58199,1.0
919,hcys__l,hsk,"pH 7.8, 37°C",,2.7.1.39,,4.0,305,L-homocysteine,641470,-,Escherichia coli,BRENDA,CHEBI:58199,5.0
920,hdca,dagk160,,Hexadecanoic acid,2.7.1.107,C00249,,535,palmitic acid,640361,+,Escherichia coli,BRENDA,CHEBI:15756,3.0
921,hdcea,g3pat120,"0.31 mM, 50% inhibition, synergism with cis-9,10-methylenehexadecanoic acid",(9Z)-Hexadecenoic acid,2.3.1.15,C08362,,5594,palmitoleate,486365,-,Escherichia coli,BRENDA,CHEBI:28716,3.0
922,hg2,a5piso,"0.01 mM, complete inhibition",Mercury(2+),5.3.1.13,C00703,,33,Hg2+,652445,-,Escherichia coli,BRENDA,CHEBI:16793,5.0
923,hg2,abta,ReactionID=GABATRANSAM-RXN,Mercury(2+),2.6.1.19,C00703,,HG+2,,,-,Escherichia coli,EcoCyc,CHEBI:16793,5.0
924,hg2,abutd,complete inhibition at 1 mM,Mercury(2+),1.2.1.3,C00703,,33,Hg2+,690591,-,Escherichia coli,BRENDA,CHEBI:16793,5.0
925,hg2,acgs,0.1 mM; 50% inhibition,Mercury(2+),2.3.1.1,C00703,,33,Hg2+,486063,-,Escherichia coli,BRENDA,CHEBI:16793,5.0
926,hg2,acnml,"0% residual activity at 0.1 mM, 22% residual activity at 0.01 mM",Mercury(2+),4.1.3.3,C00703,,33,Hg2+,33314,-,Escherichia coli,BRENDA,CHEBI:16793,5.0
927,hg2,asnn,ReactionID=GLUTAMIN-RXN,Mercury(2+),3.5.1.38,C00703,,HG+2,,,-,Escherichia coli,EcoCyc,CHEBI:16793,5.0
928,hg2,asp1dc,ReactionID=GLUTDECARBOX-RXN,Mercury(2+),4.1.1.15,C00703,,33,Hg2+,3992,-,Escherichia coli,BRENDA,CHEBI:16793,5.0
929,hg2,atps4rpp,,Mercury(2+),3.6.3.14,C00703,,33,Hg2+,210238,-,Escherichia coli,BRENDA,CHEBI:16793,3.0
930,hg2,betaldhx,0.0001-0.0005 mM HgCl2,Mercury(2+),1.2.1.8,C00703,,33,Hg2+,390329,-,Escherichia coli,BRENDA,CHEBI:16793,5.0
931,hg2,csnd,,Mercury(2+),3.5.4.1,C00703,,33,Hg2+,"209489, 209497, 209507, 209508",-,Escherichia coli,BRENDA,CHEBI:16793,5.0
932,hg2,fum,ReactionID=FUMHYDR-RXN,Mercury(2+),4.2.1.2,C00703,,HG+2,,,-,Escherichia coli,EcoCyc,CHEBI:16793,7.0
933,hg2,g6pdh2r,"1 mM, complete inhibition",Mercury(2+),1.1.1.49,C00703,,33,Hg2+,722473,-,Escherichia coli,BRENDA,CHEBI:16793,5.0
934,hg2,glcp2,"1 mM, strong inhibition",Mercury(2+),2.4.1.1,C00703,,33,Hg2+,488238,-,Escherichia coli,BRENDA,CHEBI:16793,3.0
935,hg2,glucys,,Mercury(2+),6.3.2.2,C00703,,33,Hg2+,1120,-,Escherichia coli,BRENDA,CHEBI:16793,3.0
936,hg2,glxcl,ReactionID=GLYOCARBOLIG-RXN,Mercury(2+),4.1.1.47,C00703,,HG+2,,,-,Escherichia coli,EcoCyc,CHEBI:16793,7.0
937,hg2,gtpci,,Mercury(2+),3.5.4.16,C00703,,33,Hg2+,"209545, 209546, 209553",-,Escherichia coli,BRENDA,CHEBI:16793,5.0
938,hg2,icl,ReactionID=ISOCIT-CLEAV-RXN,Mercury(2+),4.1.3.1,C00703,,HG+2,,,-,Escherichia coli,EcoCyc,CHEBI:16793,5.0
939,hg2,kdoct2,strong inhibition,Mercury(2+),2.7.7.38,C00703,,33,Hg2+,645227,-,Escherichia coli,BRENDA,CHEBI:16793,5.0
940,hg2,kdopp,ReactionID=KDO-8PPHOSPHAT-RXN,Mercury(2+),3.1.3.45,C00703,,33,Hg2+,"646344, 652389",-,Escherichia coli,BRENDA,CHEBI:16793,3.0
941,hg2,kdops,reversed by dithiothreitol,Mercury(2+),2.5.1.55,C00703,,33,Hg2+,637395,-,Escherichia coli,BRENDA,CHEBI:16793,3.0
942,hg2,lacz,,Mercury(2+),3.2.1.23,C00703,,33,Hg2+,171273,-,Escherichia coli,BRENDA,CHEBI:16793,5.0
943,hg2,mltg1,,Mercury(2+),3.2.1.20,C00703,,33,Hg2+,393267,-,Escherichia coli,BRENDA,CHEBI:16793,5.0
944,hg2,pants,,Mercury(2+),6.3.2.1,C00703,,33,Hg2+,"977, 978, 979",-,Escherichia coli,BRENDA,CHEBI:16793,3.0
945,hg2,pgpp120,ReactionID=PGPPHOSPHA-RXN,Mercury(2+),3.1.3.27,C00703,,33,Hg2+,94818,-,Escherichia coli,BRENDA,CHEBI:16793,3.0
946,hg2,rmpa,ReactionID=RHAMNULPALDOL-RXN,Mercury(2+),4.1.2.19,C00703,,HG+2,,,-,Escherichia coli,EcoCyc,CHEBI:16793,5.0
947,hg2,sucbzl,ReactionID=O-SUCCINYLBENZOATE-COA-LIG-RXN,Mercury(2+),6.2.1.26,C00703,,33,Hg2+,648945,-,Escherichia coli,BRENDA,CHEBI:16793,3.0
948,hg2,sulri,strong inhibition,Mercury(2+),1.8.1.2,C00703,,33,Hg2+,656421,-,Escherichia coli,BRENDA,CHEBI:16793,5.0
949,hg2,thrd,ReactionID=THREODEHYD-RXN,Mercury(2+),1.1.1.103,C00703,,HG+2,,,-,Escherichia coli,EcoCyc,CHEBI:16793,5.0
950,his__l,atpprt,"feed-back inhibition; stabilizes the enzyme to thermal inactivation, protects the ordered enzymatic structure against thermodenaturation, no interaction with binding sites",,2.4.2.17,,,349,L-histidine,"637662, 637668",-,Escherichia coli,BRENDA,CHEBI:57595,3.0
951,his__l,cat,,,1.11.1.6,,,1063,histidine,439802,+,Escherichia coli,BRENDA,CHEBI:57595,5.0
952,his__l,csnd,,,3.5.4.1,,,349,L-histidine,209489,+,Escherichia coli,BRENDA,CHEBI:57595,3.0
953,his__l,glns,"no feedback inhibition of unadenylated enzyme form, enhanced sensitivity to feedback inhibition by adenylated enzyme form",,6.3.1.2,,,1062,His,661216,-,Escherichia coli,BRENDA,CHEBI:57595,3.0
954,his__l,glusy,significant inhibitor,,1.4.1.13,,,349,L-histidine,391438,-,Escherichia coli,BRENDA,CHEBI:57595,3.0
955,his__l,histp,ReactionID=HISTIDPHOS-RXN,,3.1.3.15,,,HIS,,,-,Escherichia coli,EcoCyc,CHEBI:57595,3.0
956,histd,histp,ReactionID=HISTIDPHOS-RXN,,3.1.3.15,,,HISTIDINOL,,,-,Escherichia coli,EcoCyc,CHEBI:57699,1.0
957,histd,histrs,ReactionID=HISTIDINE--TRNA-LIGASE-RXN,L-Histidinol,6.1.1.21,C00860,,2488,L-Histidinol,369,-,Escherichia coli,BRENDA,CHEBI:16255,3.0
958,hom__l,aspk,"pH 8.0, 25°C, aspartokinase III",,2.7.2.4,,7.7,345,L-homoserine,642329,-,Escherichia coli,BRENDA,CHEBI:57476,3.0
959,hom__l,csnd,,,3.5.4.1,,,6515,DL-homoserine,209497,+,Escherichia coli,BRENDA,CHEBI:30653,5.0
960,hom__l,gludy,competitive inhibitor with respect to both ammonia and glutamine,,1.4.1.4,,,345,L-homoserine,391686,-,Escherichia coli,BRENDA,CHEBI:57476,3.0
961,hom__l,glusy,significant inhibitor,,1.4.1.13,,,345,L-homoserine,391438,-,Escherichia coli,BRENDA,CHEBI:57476,3.0
962,hom__l,hcysmt,,,2.1.1.10,,,5553,homoserine,441382,+,Escherichia coli,BRENDA,CHEBI:30653,5.0
963,hom__l,hsdy,,,1.1.1.3,,,5553,homoserine,246400,-,Escherichia coli,BRENDA,CHEBI:30653,1.0
964,hom__l,hsk,above 0.75 mM,,2.7.1.39,,0.1,345,L-homoserine,641463,-,Escherichia coli,BRENDA,CHEBI:57476,1.0
965,hom__l,pgcd,,,1.1.1.95,,,345,L-homoserine,287525,-,Escherichia coli,BRENDA,CHEBI:57476,5.0
966,hpyr,achbs,"progressive inactivation of enzyme with kinetics of suicide inhibition, mechanism",Hydroxypyruvate,2.2.1.6,C00168,,389,hydroxypyruvate,659590,-,Escherichia coli,BRENDA,CHEBI:30841,5.0
967,hpyr,acnml,ReactionID=RXN-15313,,4.1.3.3,,,OH-PYR,,,-,Escherichia coli,EcoCyc,CHEBI:17180,5.0
968,hpyr,glgc,,Hydroxypyruvate,2.7.7.27,C00168,,389,hydroxypyruvate,643144,+,Escherichia coli,BRENDA,CHEBI:30841,5.0
969,hpyr,pdh,assay with whole enzyme complex,Hydroxypyruvate,1.2.4.1,C00168,1.0,5529,beta-hydroxypyruvate,348956,-,Escherichia coli,BRENDA,CHEBI:30841,3.0
970,iasp,aspo6,ReactionID=L-ASPARTATE-OXID-RXN,,1.4.3.16,,,IMINOASPARTATE,,,-,Escherichia coli,EcoCyc,CHEBI:58831,1.0
971,icit,glusy,35% inhibition at 50 mM,Isocitrate,1.4.1.13,C00311,,279,Isocitrate,391438,-,Escherichia coli,BRENDA,CHEBI:30887,3.0
972,ile__l,achbs,mild inhibition of isoenzyme I and III,,2.2.1.6,,,1088,Ile,395884,-,Escherichia coli,BRENDA,CHEBI:58045,5.0
973,ile__l,csnd,,,3.5.4.1,,,311,L-isoleucine,209497,+,Escherichia coli,BRENDA,CHEBI:58045,3.0
974,ile__l,hsk,"pH 7.8, 37°C",,2.7.1.39,,4.5,1074,L-Ile,641470,-,Escherichia coli,BRENDA,CHEBI:58045,3.0
975,ile__l,ocbt,,,2.1.3.3,,14.0,311,L-isoleucine,485898,-,Escherichia coli,BRENDA,CHEBI:58045,3.0
976,ile__l,serd_l,"competitive allosteric inhibitor, the enzyme exists in two distinct catalytically active species: a tetramer sensitive to L-Ile inhibition and a dimer insensitive to L-Ile inhibition",,4.3.1.19,,,1088,Ile,210840,-,Escherichia coli,BRENDA,CHEBI:58045,3.0
