,bigg.metabolite,subsystem
4428,fum,"Transport, Inner Membrane"
4443,gam1p,Cell Envelope Biosynthesis
4445,acgam1p,Cell Envelope Biosynthesis
4446,accoa,Cell Envelope Biosynthesis
4452,dtdpglu,Cell Envelope Biosynthesis
4454,dttp,Cell Envelope Biosynthesis
4456,g1p,Cell Envelope Biosynthesis
4459,5aop,Cofactor and Prosthetic Group Biosynthesis
4460,glu1sa,Cofactor and Prosthetic Group Biosynthesis
4464,glyc2p,Alternate Carbon Metabolism
4503,g3pc,"Transport, Inner Membrane"
4506,glyc3p,Alternate Carbon Metabolism
4512,glyc3p,Oxidative Phosphorylation
4513,dhap,Oxidative Phosphorylation
4525,g3pe,"Transport, Inner Membrane"
4535,g3pg,"Transport, Inner Membrane"
4544,g3pi,"Transport, Inner Membrane"
4556,g3ps,"Transport, Inner Membrane"
4563,1pyr5c,Arginine and Proline Metabolism
4564,glu5sa,Arginine and Proline Metabolism
4572,glu5p,Arginine and Proline Metabolism
4577,g6p,Pentose Phosphate Pathway
4578,6pgl,Pentose Phosphate Pathway
4579,nadph,Pentose Phosphate Pathway
4580,h,Pentose Phosphate Pathway
4581,nadp,Pentose Phosphate Pathway
4582,glc__d,Glycolysis/Gluconeogenesis
4585,g6p,Glycolysis/Gluconeogenesis
4588,g6p,"Transport, Inner Membrane"
4601,5dh4dglc,Alternate Carbon Metabolism
4602,galct__d,Alternate Carbon Metabolism
4603,galctn__l,Alternate Carbon Metabolism
4605,tagur,Alternate Carbon Metabolism
4608,galctn__d,Alternate Carbon Metabolism
4611,galctn__l,"Transport, Inner Membrane"
4617,galctn__d,"Transport, Inner Membrane"
4624,galct__d,"Transport, Inner Membrane"
4630,gal,Alternate Carbon Metabolism
4633,gal1p,Alternate Carbon Metabolism
4639,melib,Alternate Carbon Metabolism
4640,gagicolipa,Lipopolysaccharide Biosynthesis / Recycling
4641,udp,Lipopolysaccharide Biosynthesis / Recycling
4642,udpg,Lipopolysaccharide Biosynthesis / Recycling
4644,gicolipa,Lipopolysaccharide Biosynthesis / Recycling
4647,galt1p,"Transport, Inner Membrane"
4651,galur,"Transport, Inner Membrane"
4657,utp,Cell Envelope Biosynthesis
4659,udpg,Cell Envelope Biosynthesis
4664,gal,"Transport, Inner Membrane"
4677,gam6p,"Transport, Inner Membrane"
4688,nad,Glycolysis/Gluconeogenesis
4690,h,Glycolysis/Gluconeogenesis
4691,13dpg,Glycolysis/Gluconeogenesis
4692,nadh,Glycolysis/Gluconeogenesis
4694,gar,Purine and Pyrimidine Biosynthesis
4695,fgam,Purine and Pyrimidine Biosynthesis
4698,for,Purine and Pyrimidine Biosynthesis
4708,glyclt,Folate Metabolism
4710,nad,Folate Metabolism
4711,nadh,Folate Metabolism
4712,gcald,Folate Metabolism
4713,gdpddman,Cell Envelope Biosynthesis
4714,gdpofuc,Cell Envelope Biosynthesis
4715,ppgpp,Cofactor and Prosthetic Group Biosynthesis
4716,gdp,Cofactor and Prosthetic Group Biosynthesis
4721,gdp,Cell Envelope Biosynthesis
4723,gdpmann,Cell Envelope Biosynthesis
4724,man,Cell Envelope Biosynthesis
4726,gmp,Cell Envelope Biosynthesis
4727,man1p,Cell Envelope Biosynthesis
4730,gdptp,Cofactor and Prosthetic Group Biosynthesis
4736,glu__l,Cell Envelope Biosynthesis
4737,gln__l,Cell Envelope Biosynthesis
4738,gam6p,Cell Envelope Biosynthesis
4739,f6p,Cell Envelope Biosynthesis
4743,gg4abut,Alternate Carbon Metabolism
4745,ggbutal,Alternate Carbon Metabolism
4748,glu__l,Alternate Carbon Metabolism
4749,4abut,Alternate Carbon Metabolism
4752,ggptrc,Alternate Carbon Metabolism
4753,h2o2,Alternate Carbon Metabolism
4761,ptrc,Alternate Carbon Metabolism
4763,ghb,Arginine and Proline Metabolism
4768,thf,Glycine and Serine Metabolism
4769,h2o,Glycine and Serine Metabolism
4770,ser__l,Glycine and Serine Metabolism
4771,mlthf,Glycine and Serine Metabolism
4772,gly,Glycine and Serine Metabolism
4773,gmp,Nucleotide Salvage Pathway
4777,bglycogen,Glycolysis/Gluconeogenesis
4778,glycogen,Glycolysis/Gluconeogenesis
4780,acglc__d,Alternate Carbon Metabolism
4790,glcn,"Transport, Inner Membrane"
4797,g1p,Glycolysis/Gluconeogenesis
4803,2h3oppan,Alternate Carbon Metabolism
4806,glcr,Alternate Carbon Metabolism
4809,glcr,"Transport, Inner Membrane"
4813,adp,Glycolysis/Gluconeogenesis
4814,adpglc,Glycolysis/Gluconeogenesis
4817,icolipa,Lipopolysaccharide Biosynthesis / Recycling
4823,ggagicolipa,Lipopolysaccharide Biosynthesis / Recycling
4827,gggagicolipa,Lipopolysaccharide Biosynthesis / Recycling
4834,glcur,"Transport, Inner Membrane"
4845,glc__d,"Transport, Inner Membrane"
4862,ppi,Glycolysis/Gluconeogenesis
4864,atp,Glycolysis/Gluconeogenesis
4866,atp,Glutamate Metabolism
4867,glu__l,Glutamate Metabolism
4868,h,Glutamate Metabolism
4869,adp,Glutamate Metabolism
4870,pi,Glutamate Metabolism
4871,nh4,Glutamate Metabolism
4872,gln__l,Glutamate Metabolism
4873,glntrna,tRNA Charging
4875,trnagln,tRNA Charging
4878,gln__l,tRNA Charging
4885,gln__l,"Transport, Inner Membrane"
4889,tag6p__d,Alternate Carbon Metabolism
4890,galt1p,Alternate Carbon Metabolism
4898,glu__l,"Transport, Inner Membrane"
4901,cys__l,Cofactor and Prosthetic Group Biosynthesis
4907,glucys,Cofactor and Prosthetic Group Biosynthesis
4909,co2,Glutamate Metabolism
4911,4abut,Glutamate Metabolism
4912,akg,Glutamate Metabolism
4913,h2o,Glutamate Metabolism
4914,nadp,Glutamate Metabolism
4915,nadph,Glutamate Metabolism
4927,pram,Purine and Pyrimidine Biosynthesis
4929,ppi,Purine and Pyrimidine Biosynthesis
4931,prpp,Purine and Pyrimidine Biosynthesis
4933,glu__d,Cell Envelope Biosynthesis
4944,trnaglu,Cofactor and Prosthetic Group Biosynthesis
4946,glutrna,Cofactor and Prosthetic Group Biosynthesis
4970,co2,Glyoxylate Metabolism
4971,glx,Glyoxylate Metabolism
4972,h,Glyoxylate Metabolism
4973,2h3oppan,Glyoxylate Metabolism
4976,glyald,"Transport, Inner Membrane"
4978,coa,Glycine and Serine Metabolism
4979,2aobut,Glycine and Serine Metabolism
4980,accoa,Glycine and Serine Metabolism
4984,glyb,"Transport, Inner Membrane"
5001,glyc2p,"Transport, Inner Membrane"
5006,glyc3p,"Transport, Inner Membrane"
5017,glyc__r,"Transport, Inner Membrane"
5028,atp,Glyoxylate Metabolism
5029,glyc__r,Glyoxylate Metabolism
5031,adp,Glyoxylate Metabolism
5032,3pg,Glyoxylate Metabolism
5033,atp,Glycine and Serine Metabolism
5034,glyc__r,Glycine and Serine Metabolism
5036,2pg,Glycine and Serine Metabolism
5037,adp,Glycine and Serine Metabolism
5039,mlthf,Folate Metabolism
5040,gly,Folate Metabolism
5043,co2,Folate Metabolism
5044,nh4,Folate Metabolism
5045,glyclt,Glyoxylate Metabolism
5047,nadh,Glyoxylate Metabolism
5048,nad,Glyoxylate Metabolism
5050,nadph,Glyoxylate Metabolism
5054,nadp,Glyoxylate Metabolism
5056,glyclt,"Transport, Inner Membrane"
5065,q8h2,Alternate Carbon Metabolism
5066,glyclt,Alternate Carbon Metabolism
5067,glx,Alternate Carbon Metabolism
5068,q8,Alternate Carbon Metabolism
5071,mqn8,Alternate Carbon Metabolism
5072,mql8,Alternate Carbon Metabolism
5075,2dmmq8,Alternate Carbon Metabolism
5076,2dmmql8,Alternate Carbon Metabolism
5079,glyc,"Transport, Inner Membrane"
5086,gthrd,Methylglyoxal Metabolism
5088,lac__d,Methylglyoxal Metabolism
5090,lgt__s,Methylglyoxal Metabolism
5095,glytrna,tRNA Charging
5098,trnagly,tRNA Charging
5100,gly,tRNA Charging
5102,gly,"Transport, Inner Membrane"
5118,ppi,Lipopolysaccharide Biosynthesis / Recycling
5119,gmhep1p,Lipopolysaccharide Biosynthesis / Recycling
5124,gmhep17bp,Lipopolysaccharide Biosynthesis / Recycling
5125,gmhep7p,Lipopolysaccharide Biosynthesis / Recycling
5132,gmp,Purine and Pyrimidine Biosynthesis
5133,nadph,Purine and Pyrimidine Biosynthesis
5135,nadp,Purine and Pyrimidine Biosynthesis
5137,nh4,Purine and Pyrimidine Biosynthesis
5138,xmp,Purine and Pyrimidine Biosynthesis
5150,co2,Pentose Phosphate Pathway
5153,ru5p__d,Pentose Phosphate Pathway
5154,6pgc,Alternate Carbon Metabolism
5159,gdpfuc,Cell Envelope Biosynthesis
5164,gp4g,Nucleotide Salvage Pathway
5168,chol,Glycerophospholipid Metabolism
5172,g3pc,Glycerophospholipid Metabolism
5179,g3pe,Glycerophospholipid Metabolism
5181,etha,Glycerophospholipid Metabolism
5189,ser__l,Glycerophospholipid Metabolism
5190,g3ps,Glycerophospholipid Metabolism
5198,g3pg,Glycerophospholipid Metabolism
5202,glyc,Glycerophospholipid Metabolism
5209,g3pi,Glycerophospholipid Metabolism
5210,inost,Glycerophospholipid Metabolism
5220,frdp,Cofactor and Prosthetic Group Biosynthesis
5222,grxox,Unassigned
5223,gthrd,Unassigned
5224,grxrd,Unassigned
5225,gthox,Unassigned
5230,gsn,Nucleotide Salvage Pathway
5234,gsn,"Transport, Inner Membrane"
5237,gtspmd,Arginine and Proline Metabolism
5239,gthrd,Arginine and Proline Metabolism
5240,spmd,Arginine and Proline Metabolism
5254,gthox,Cofactor and Prosthetic Group Biosynthesis
5269,gthrd,"Transport, Inner Membrane"
5285,gly,Cofactor and Prosthetic Group Biosynthesis
5311,xtp,Nucleotide Salvage Pathway
5316,35cgmp,Nucleotide Salvage Pathway
5318,gua,Nucleotide Salvage Pathway
5320,xan,Nucleotide Salvage Pathway
5327,gua,"Transport, Inner Membrane"
5334,glcur,Alternate Carbon Metabolism
5335,fruur,Alternate Carbon Metabolism
5336,galur,Alternate Carbon Metabolism
5350,h2s,Inorganic Ion Transport and Metabolism
5351,so4,Inorganic Ion Transport and Metabolism
5353,h2s,"Transport, Inner Membrane"
5358,h2,"Transport, Inner Membrane"
5362,nadh,Membrane Lipid Metabolism
5364,nad,Membrane Lipid Metabolism
5406,3ophb,Cofactor and Prosthetic Group Biosynthesis
5412,3hcinnm,"Transport, Inner Membrane"
5415,hco3,Unassigned
5420,amet,Methionine Metabolism
5422,h,Methionine Metabolism
5423,met__l,Methionine Metabolism
5425,mmet,Methionine Metabolism
5433,hemeo,Cofactor and Prosthetic Group Biosynthesis
5437,hhlipa,Lipopolysaccharide Biosynthesis / Recycling
5438,phhlipa,Lipopolysaccharide Biosynthesis / Recycling
5442,hphhlipa,Lipopolysaccharide Biosynthesis / Recycling
5443,phphhlipa,Lipopolysaccharide Biosynthesis / Recycling
5449,hlipa,Lipopolysaccharide Biosynthesis / Recycling
5467,4mhetz,Cofactor and Prosthetic Group Biosynthesis
5468,4mpetz,Cofactor and Prosthetic Group Biosynthesis
5477,man,Alternate Carbon Metabolism
5478,man6p,Alternate Carbon Metabolism
5488,hxa,"Transport, Inner Membrane"
5494,hg2,Inorganic Ion Transport and Metabolism
5504,histd,Histidine Metabolism
5505,h2o,Histidine Metabolism
5506,his__l,Histidine Metabolism
5507,h,Histidine Metabolism
5508,nad,Histidine Metabolism
5509,nadh,Histidine Metabolism
5510,hisp,Histidine Metabolism
5513,pi,Histidine Metabolism
5514,histrna,tRNA Charging
5516,his__l,tRNA Charging
5518,trnahis,tRNA Charging
5523,his__l,"Transport, Inner Membrane"
5533,hkndd,Alternate Carbon Metabolism
5534,succ,Alternate Carbon Metabolism
5535,op4en,Alternate Carbon Metabolism
5539,fum,Alternate Carbon Metabolism
5543,ppbng,Cofactor and Prosthetic Group Biosynthesis
5544,hmbil,Cofactor and Prosthetic Group Biosynthesis
5551,4ahmmp,Cofactor and Prosthetic Group Biosynthesis
5552,hom__l,"Transport, Inner Membrane"
5560,4h2opntn,Alternate Carbon Metabolism
5573,3hpppn,"Transport, Inner Membrane"
5576,hpyr,Alternate Carbon Metabolism
5580,glyc__r,Alternate Carbon Metabolism
5588,hom__l,Threonine and Lysine Metabolism
5593,phom,Threonine and Lysine Metabolism
5598,hom__l,Methionine Metabolism
5599,coa,Methionine Metabolism
5600,suchms,Methionine Metabolism
5601,succoa,Methionine Metabolism
5603,akg,Histidine Metabolism
5604,glu__l,Histidine Metabolism
5605,imacp,Histidine Metabolism
5615,hxcoa,Alternate Carbon Metabolism
5617,hxa,Alternate Carbon Metabolism
5621,imp,Nucleotide Salvage Pathway
5623,h2,Oxidative Phosphorylation
5637,pydam,Cofactor and Prosthetic Group Biosynthesis
5643,hxan,"Transport, Inner Membrane"
5647,iscssh,Cofactor and Prosthetic Group Biosynthesis
5648,iscs,Cofactor and Prosthetic Group Biosynthesis
5649,iscu_2fe2s,Cofactor and Prosthetic Group Biosynthesis
5652,iscu,Cofactor and Prosthetic Group Biosynthesis
5662,iscu_2fe2s2,Cofactor and Prosthetic Group Biosynthesis
5675,iscu_4fe4s,Cofactor and Prosthetic Group Biosynthesis
5683,nadph,Citric Acid Cycle
5686,nadp,Citric Acid Cycle
5687,ichor,Cofactor and Prosthetic Group Biosynthesis
5695,succ,Anaplerotic Reactions
5696,icit,Anaplerotic Reactions
5697,glx,Anaplerotic Reactions
5712,idon__l,"Transport, Inner Membrane"
5718,aicar,Histidine Metabolism
5720,eig3p,Histidine Metabolism
5722,prlp,Histidine Metabolism
5723,gln__l,Histidine Metabolism
5728,co2,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
5730,2cpr5p,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
5731,3ig3p,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
5732,akg,"Valine, Leucine, and Isoleucine Metabolism"
5733,ile__l,"Valine, Leucine, and Isoleucine Metabolism"
5734,glu__l,"Valine, Leucine, and Isoleucine Metabolism"
5736,iletrna,tRNA Charging
5737,trnaile,tRNA Charging
5739,ile__l,tRNA Charging
5745,ile__l,"Transport, Inner Membrane"
5761,nad,Purine and Pyrimidine Biosynthesis
5762,nadh,Purine and Pyrimidine Biosynthesis
5767,indole,"Transport, Inner Membrane"
5778,inost,"Transport, Inner Membrane"
5783,rib__d,Nucleotide Salvage Pathway
5794,ins,"Transport, Inner Membrane"
5809,3c4mop,"Valine, Leucine, and Isoleucine Metabolism"
5810,3c2hmp,"Valine, Leucine, and Isoleucine Metabolism"
5811,nadh,"Valine, Leucine, and Isoleucine Metabolism"
5813,nad,"Valine, Leucine, and Isoleucine Metabolism"
5814,2ippm,"Valine, Leucine, and Isoleucine Metabolism"
5819,3c3hmp,"Valine, Leucine, and Isoleucine Metabolism"
5821,accoa,"Valine, Leucine, and Isoleucine Metabolism"
5823,coa,"Valine, Leucine, and Isoleucine Metabolism"
5826,isetac,"Transport, Inner Membrane"
5840,kdo2lipid4,"Transport, Inner Membrane"
5849,nadp,"Valine, Leucine, and Isoleucine Metabolism"
5850,nadph,"Valine, Leucine, and Isoleucine Metabolism"
5861,malacp,Membrane Lipid Metabolism
5863,actacp,Membrane Lipid Metabolism
5864,co2,Membrane Lipid Metabolism
5871,ctp,Lipopolysaccharide Biosynthesis / Recycling
5872,ckdo,Lipopolysaccharide Biosynthesis / Recycling
5874,kdo,Lipopolysaccharide Biosynthesis / Recycling
5875,kdo8p,Lipopolysaccharide Biosynthesis / Recycling
5879,ara5p,Lipopolysaccharide Biosynthesis / Recycling
5883,pep,Lipopolysaccharide Biosynthesis / Recycling
5885,xu5p__l,Alternate Carbon Metabolism
5893,k,Inorganic Ion Transport and Metabolism
5906,pyr,Oxidative Phosphorylation
5907,lac__l,Oxidative Phosphorylation
5913,lac__l,"Transport, Inner Membrane"
5923,lcts,Alternate Carbon Metabolism
5934,26dap__m,Murein Recycling
5938,laladglu,"Transport, Inner Membrane"
5944,lalalglu,"Transport, Inner Membrane"
5947,nad,Methylglyoxal Metabolism
5948,nadh,Methylglyoxal Metabolism
5951,lald__d,Methylglyoxal Metabolism
5955,lald__l,Methylglyoxal Metabolism
5958,ala__l,Murein Recycling
5959,glu__l,Murein Recycling
5963,lac__l,Alternate Carbon Metabolism
5971,12ppd__r,Methylglyoxal Metabolism
5974,12ppd__s,Alternate Carbon Metabolism
5977,lcts,"Transport, Inner Membrane"
5987,pyr,Pyruvate Metabolism
5989,lac__d,Pyruvate Metabolism
5994,lac__d,Oxidative Phosphorylation
5997,leu__l,"Valine, Leucine, and Isoleucine Metabolism"
5998,4mop,"Valine, Leucine, and Isoleucine Metabolism"
6000,leutrna,tRNA Charging
6001,leu__l,tRNA Charging
6005,trnaleu,tRNA Charging
6008,leu__l,"Transport, Inner Membrane"
6040,lipopb,Cofactor and Prosthetic Group Biosynthesis
6041,lipoamp,Cofactor and Prosthetic Group Biosynthesis
6043,lipoate,Cofactor and Prosthetic Group Biosynthesis
6060,octapb,Cofactor and Prosthetic Group Biosynthesis
6061,ocacp,Cofactor and Prosthetic Group Biosynthesis
6076,lipoate,"Transport, Inner Membrane"
6081,u23ga,Lipopolysaccharide Biosynthesis / Recycling
6084,lipidads,Lipopolysaccharide Biosynthesis / Recycling
6085,lipidx,Lipopolysaccharide Biosynthesis / Recycling
6193,2ddecg3p,Glycerophospholipid Metabolism
6198,2tdecg3p,Glycerophospholipid Metabolism
6204,2tdec7eg3p,Glycerophospholipid Metabolism
6206,2hdecg3p,Glycerophospholipid Metabolism
6211,2hdec9eg3p,Glycerophospholipid Metabolism
6217,2odecg3p,Glycerophospholipid Metabolism
6225,2odec11eg3p,Glycerophospholipid Metabolism
6227,apg120,Glycerophospholipid Metabolism
6232,apg140,Glycerophospholipid Metabolism
6235,apg141,Glycerophospholipid Metabolism
6240,apg160,Glycerophospholipid Metabolism
6244,apg161,Glycerophospholipid Metabolism
6247,apg180,Glycerophospholipid Metabolism
6250,apg181,Glycerophospholipid Metabolism
6357,15dap,Threonine and Lysine Metabolism
6361,trnalys,tRNA Charging
6362,lys__l,tRNA Charging
6366,lystrna,tRNA Charging
6384,xylu__l,Alternate Carbon Metabolism
6385,lyx__l,Alternate Carbon Metabolism
6387,lyx__l,"Transport, Inner Membrane"
6394,mnl1p,Alternate Carbon Metabolism
6402,malcoame,Cofactor and Prosthetic Group Biosynthesis
6403,malcoa,Cofactor and Prosthetic Group Biosynthesis
6406,mal__d,Alternate Carbon Metabolism
6411,mal__d,"Transport, Inner Membrane"
6416,h2o,Anaplerotic Reactions
6417,mal__l,Anaplerotic Reactions
6419,h,Anaplerotic Reactions
6420,accoa,Anaplerotic Reactions
6421,coa,Anaplerotic Reactions
6422,acmalt,Alternate Carbon Metabolism
6427,malthx,"Transport, Inner Membrane"
6440,maltpt,"Transport, Inner Membrane"
6450,malttr,"Transport, Inner Membrane"
6455,maltttr,"Transport, Inner Membrane"
6467,malt,"Transport, Inner Membrane"
6471,malt6p,"Transport, Inner Membrane"
6476,mal__l,"Transport, Inner Membrane"
6499,man6p,"Transport, Inner Membrane"
6504,mana,Alternate Carbon Metabolism
6509,man6pglyc,"Transport, Inner Membrane"
6516,man6pglyc,Alternate Carbon Metabolism
6523,2mcit,Alternate Carbon Metabolism
6524,2mcacn,Alternate Carbon Metabolism
6528,micit,Alternate Carbon Metabolism
6539,cyan,Cysteine Metabolism
6542,mercppyr,Cysteine Metabolism
6543,tcynt,Cysteine Metabolism
6590,q8h2,Citric Acid Cycle
6592,q8,Citric Acid Cycle
6598,nad,Anaplerotic Reactions
6599,pyr,Anaplerotic Reactions
6600,co2,Anaplerotic Reactions
6602,nadh,Anaplerotic Reactions
6605,nadph,Anaplerotic Reactions
6606,nadp,Anaplerotic Reactions
6608,2mecdp,Cofactor and Prosthetic Group Biosynthesis
6610,flxso,Cofactor and Prosthetic Group Biosynthesis
6611,flxr,Cofactor and Prosthetic Group Biosynthesis
6616,cmp,Cofactor and Prosthetic Group Biosynthesis
6618,melib,"Transport, Inner Membrane"
6630,meoh,"Transport, Inner Membrane"
6631,ctp,Cofactor and Prosthetic Group Biosynthesis
6637,atp,Methionine Metabolism
6638,ppi,Methionine Metabolism
6641,pi,Methionine Metabolism
6648,met__d,"Transport, Inner Membrane"
6651,h2o2,Methionine Metabolism
6654,metsox_s__l,Methionine Metabolism
6655,metsox_r__l,Methionine Metabolism
6660,5mthf,Methionine Metabolism
6663,thf,Methionine Metabolism
6666,metsox_s__l,"Transport, Inner Membrane"
6676,metsox_r__l,"Transport, Inner Membrane"
6683,trdox,Methionine Metabolism
6684,trdrd,Methionine Metabolism
6696,met__l,tRNA Charging
6697,trnamet,tRNA Charging
6702,met__l,"Transport, Inner Membrane"
6708,mg2,Inorganic Ion Transport and Metabolism
6722,dhap,Methylglyoxal Metabolism
6723,pi,Methylglyoxal Metabolism
6727,inost,Cell Envelope Biosynthesis
6728,mi1p__d,Cell Envelope Biosynthesis
6798,g1p,Alternate Carbon Metabolism
6808,mmcoa__s,Alternate Carbon Metabolism
6813,mmet,"Transport, Inner Membrane"
6821,mn2,Inorganic Ion Transport and Metabolism
6833,mnl1p,"Transport, Inner Membrane"
6840,mn2,"Transport, Inner Membrane"
6846,moadcosh,Cofactor and Prosthetic Group Biosynthesis
6848,moadamp,Cofactor and Prosthetic Group Biosynthesis
6853,kdolipid4,Lipopolysaccharide Biosynthesis / Recycling
6854,cmp,Lipopolysaccharide Biosynthesis / Recycling
6856,lipida,Lipopolysaccharide Biosynthesis / Recycling
6866,kphphhlipa,Lipopolysaccharide Biosynthesis / Recycling
6869,mobd,Inorganic Ion Transport and Metabolism
6877,mococdp,Cofactor and Prosthetic Group Biosynthesis
6883,mobd,Cofactor and Prosthetic Group Biosynthesis
6891,mocogdp,Cofactor and Prosthetic Group Biosynthesis
6894,3mob,Cofactor and Prosthetic Group Biosynthesis
6896,mlthf,Cofactor and Prosthetic Group Biosynthesis
6898,o2,Citric Acid Cycle
6901,h2o2,Citric Acid Cycle
6904,mpt,Cofactor and Prosthetic Group Biosynthesis
6907,udcpdp,Murein Biosynthesis
6909,h,Murein Biosynthesis
6910,uaagmda,Murein Biosynthesis
6921,moadcoo,Cofactor and Prosthetic Group Biosynthesis
6927,3hpp,Nucleotide Salvage Pathway
6928,nadp,Nucleotide Salvage Pathway
6929,nadph,Nucleotide Salvage Pathway
6933,mso3,"Transport, Inner Membrane"
6941,5mtr,Arginine and Proline Metabolism
6944,ade,Arginine and Proline Metabolism
6949,nadp,Folate Metabolism
6950,nadph,Folate Metabolism
6957,5mthf,Folate Metabolism
6959,mththf,Methionine Metabolism
6961,o2,Glycine and Serine Metabolism
6963,nmtrp,Glycine and Serine Metabolism
6964,fald,Glycine and Serine Metabolism
6965,h2o2,Glycine and Serine Metabolism
6966,trp__l,Glycine and Serine Metabolism
6969,n2o,Inorganic Ion Transport and Metabolism
6977,nac,"Transport, Inner Membrane"
6980,nmn,Cofactor and Prosthetic Group Biosynthesis
6985,nadh,Oxidative Phosphorylation
6988,nad,Oxidative Phosphorylation
7023,adprib,Cofactor and Prosthetic Group Biosynthesis
7026,ncam,Cofactor and Prosthetic Group Biosynthesis
7028,nadp,Oxidative Phosphorylation
7029,nadph,Oxidative Phosphorylation
7046,dnad,Cofactor and Prosthetic Group Biosynthesis
7059,nicrnt,Cofactor and Prosthetic Group Biosynthesis
7061,nac,Cofactor and Prosthetic Group Biosynthesis
7064,prpp,Cofactor and Prosthetic Group Biosynthesis
7083,udp,Nucleotide Salvage Pathway
7084,utp,Nucleotide Salvage Pathway
7087,ctp,Nucleotide Salvage Pathway
7092,dttp,Nucleotide Salvage Pathway
7096,dgtp,Nucleotide Salvage Pathway
7102,dudp,Nucleotide Salvage Pathway
7113,nh4,Inorganic Ion Transport and Metabolism
7117,nad,Nitrogen Metabolism
7118,no,Nitrogen Metabolism
7119,n2o,Nitrogen Metabolism
7120,nadh,Nitrogen Metabolism
7123,ni2,Inorganic Ion Transport and Metabolism
7153,r5p,Cofactor and Prosthetic Group Biosynthesis
7157,nmn,"Transport, Inner Membrane"
7161,ncam,"Transport, Inner Membrane"
7162,r5p,"Transport, Inner Membrane"
7170,nicrnt,Nucleotide Salvage Pathway
7171,dnad,Nucleotide Salvage Pathway
7175,dmbzid,Cofactor and Prosthetic Group Biosynthesis
7176,5prdmbz,Cofactor and Prosthetic Group Biosynthesis
7182,quln,Cofactor and Prosthetic Group Biosynthesis
7188,no2,Inorganic Ion Transport and Metabolism
7195,q8,Nitrogen Metabolism
7196,q8h2,Nitrogen Metabolism
7199,no3,Oxidative Phosphorylation
7203,no2,Oxidative Phosphorylation
7207,mql8,Nitrogen Metabolism
7208,mqn8,Nitrogen Metabolism
7219,no3,Inorganic Ion Transport and Metabolism
7222,o2,Nitrogen Metabolism
7223,no3,Nitrogen Metabolism
7229,nadp,Nitrogen Metabolism
7230,nadph,Nitrogen Metabolism
7243,no,Inorganic Ion Transport and Metabolism
7248,xmp,Nucleotide Salvage Pathway
7251,xtsn,Nucleotide Salvage Pathway
7266,dimp,Nucleotide Salvage Pathway
7279,ump,Nucleotide Salvage Pathway
7303,thymd,Nucleotide Salvage Pathway
7324,dgsn,Nucleotide Salvage Pathway
7350,didp,Nucleotide Salvage Pathway
7358,xdp,Nucleotide Salvage Pathway
7431,pppi,Nucleotide Salvage Pathway
7442,nh4,Oxidative Phosphorylation
7482,ragund,Lipopolysaccharide Biosynthesis / Recycling
7483,coa,Lipopolysaccharide Biosynthesis / Recycling
7484,accoa,Lipopolysaccharide Biosynthesis / Recycling
7485,aragund,Lipopolysaccharide Biosynthesis / Recycling
7486,o16aund,Lipopolysaccharide Biosynthesis / Recycling
7488,gfgaragund,Lipopolysaccharide Biosynthesis / Recycling
7489,garagund,Lipopolysaccharide Biosynthesis / Recycling
7491,udpgalfur,Lipopolysaccharide Biosynthesis / Recycling
7512,oaa,Pyruvate Metabolism
7513,2obut,Alternate Carbon Metabolism
7535,octa,Cofactor and Prosthetic Group Biosynthesis
7538,hgmeacp,Cofactor and Prosthetic Group Biosynthesis
7545,ogmeacp,Cofactor and Prosthetic Group Biosynthesis
7547,malacp,Cofactor and Prosthetic Group Biosynthesis
7552,akg,Cofactor and Prosthetic Group Biosynthesis
7555,ohpb,Cofactor and Prosthetic Group Biosynthesis
7557,2omph,Cofactor and Prosthetic Group Biosynthesis
7560,2ohph,Cofactor and Prosthetic Group Biosynthesis
7561,2ombzl,Cofactor and Prosthetic Group Biosynthesis
7565,2ommbl,Cofactor and Prosthetic Group Biosynthesis
7582,ump,Purine and Pyrimidine Biosynthesis
7583,co2,Purine and Pyrimidine Biosynthesis
7585,orot5p,Purine and Pyrimidine Biosynthesis
7604,2oph,Cofactor and Prosthetic Group Biosynthesis
7618,hpmeacp,Cofactor and Prosthetic Group Biosynthesis
7624,opmeacp,Cofactor and Prosthetic Group Biosynthesis
7646,orot,"Transport, Inner Membrane"
7655,oxam,Unassigned
7656,oxur,Unassigned
7665,3oxdhscoa,Alternate Carbon Metabolism
7667,2oxpaccoa,Alternate Carbon Metabolism
7689,pa120,"Transport, Inner Membrane"
7691,pa140,"Transport, Inner Membrane"
7702,pa141,"Transport, Inner Membrane"
7709,pa160,"Transport, Inner Membrane"
7714,pa161,"Transport, Inner Membrane"
7720,pa180,"Transport, Inner Membrane"
7731,pa181,"Transport, Inner Membrane"
7735,pacald,"Transport, Inner Membrane"
7742,phaccoa,Alternate Carbon Metabolism
7744,rephaccoa,Alternate Carbon Metabolism
7746,ppi,Alternate Carbon Metabolism
7750,amp,Alternate Carbon Metabolism
7753,pnto__r,Cofactor and Prosthetic Group Biosynthesis
7816,uagmda,Cell Envelope Biosynthesis
7817,ugmda,Cell Envelope Biosynthesis
7818,so3,Cysteine Metabolism
7820,trdox,Cysteine Metabolism
